id,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,coded
3502,I,0.49,0.38,0.125,0.529,0.2165,0.1375,0.155,7,1
76031,I,0.42,0.345,0.1,0.3705,0.1625,0.0795,0.1025,7,1
49473,M,0.555,0.44,0.135,0.739,0.3515,0.1575,0.235,9,3
16126,F,0.535,0.41,0.14,0.709,0.2505,0.17,0.19,9,2
65405,F,0.605,0.455,0.15,1.059,0.4275,0.221,0.31,10,2
70953,I,0.425,0.325,0.1,0.3615,0.1525,0.063,0.094,7,1
52444,M,0.725,0.56,0.195,1.787,0.7175,0.36,0.488,10,3
25082,M,0.67,0.51,0.18,1.6605,0.6865,0.3075,0.44,13,3
38361,I,0.495,0.37,0.15,0.5605,0.245,0.144,0.175,9,1
75556,F,0.655,0.49,0.175,1.2075,0.5125,0.2775,0.3315,9,2
26072,M,0.61,0.485,0.165,1.122,0.378,0.3055,0.3035,12,3
6931,M,0.635,0.5,0.165,1.2705,0.4815,0.328,0.42,16,3
72607,I,0.515,0.38,0.11,0.5385,0.2145,0.1095,0.15,8,1
90482,I,0.395,0.3,0.085,0.3025,0.143,0.0345,0.0935,6,1
38496,M,0.53,0.415,0.14,0.7485,0.3345,0.1315,0.22,9,3
26778,I,0.365,0.275,0.095,0.2325,0.108,0.0615,0.0735,7,1
85470,F,0.59,0.46,0.16,1.059,0.37,0.2535,0.315,14,2
58383,F,0.575,0.46,0.165,1.099,0.4835,0.202,0.35,10,2
69151,F,0.65,0.525,0.215,1.7365,0.488,0.276,0.665,21,2
27481,I,0.45,0.335,0.115,0.3905,0.1905,0.084,0.11,6,1
58190,I,0.38,0.3,0.095,0.259,0.1075,0.06,0.0865,8,1
19027,F,0.64,0.51,0.175,1.4385,0.667,0.326,0.37,11,2
29343,M,0.57,0.465,0.155,0.97,0.4005,0.1715,0.245,10,3
26561,F,0.705,0.555,0.185,1.4385,0.5575,0.305,0.431,11,2
46424,M,0.54,0.42,0.135,0.8365,0.4115,0.1715,0.21,9,3
89107,I,0.37,0.29,0.095,0.237,0.0945,0.057,0.0835,7,1
4510,I,0.385,0.29,0.1,0.2775,0.135,0.061,0.086,6,1
63029,I,0.575,0.425,0.14,0.9175,0.45,0.1825,0.27,9,1
35254,F,0.6,0.475,0.16,0.869,0.3425,0.195,0.319,8,2
85652,F,0.59,0.445,0.16,0.919,0.4285,0.1765,0.2425,9,2
52544,M,0.55,0.425,0.135,0.8285,0.4005,0.1825,0.215,9,3
55816,M,0.58,0.435,0.155,0.8745,0.394,0.1685,0.265,12,3
9985,M,0.625,0.495,0.16,1.309,0.633,0.3105,0.3135,9,3
74873,F,0.605,0.475,0.19,1.1745,0.4275,0.2305,0.42,17,2
16130,I,0.3,0.22,0.075,0.1285,0.05,0.0265,0.035,6,1
8959,F,0.605,0.485,0.19,1.1445,0.4305,0.2575,0.42,13,2
38962,I,0.575,0.43,0.135,0.844,0.3945,0.1815,0.2315,9,1
9293,F,0.625,0.495,0.16,1.1295,0.4915,0.262,0.35,9,2
29305,F,0.485,0.375,0.135,0.5885,0.2465,0.131,0.2,14,2
38857,I,0.27,0.205,0.065,0.1065,0.0425,0.0285,0.038,6,1
27090,M,0.575,0.435,0.18,0.8275,0.3315,0.1755,0.275,15,3
36813,M,0.68,0.54,0.2,1.773,0.713,0.3265,0.445,15,3
21548,F,0.505,0.395,0.135,0.6295,0.2705,0.122,0.215,8,2
33201,M,0.665,0.515,0.175,1.4385,0.6615,0.2975,0.335,11,3
82441,M,0.565,0.45,0.155,0.9795,0.4305,0.2235,0.295,18,3
12896,F,0.595,0.475,0.125,0.832,0.293,0.1915,0.28,13,2
87078,I,0.44,0.35,0.11,0.384,0.185,0.0915,0.105,7,1
70566,M,0.62,0.48,0.14,1.062,0.44,0.2165,0.2925,9,3
37913,I,0.165,0.11,0.03,0.014,0.0075,0.003,0.004,4,1
46907,F,0.61,0.47,0.15,1.0035,0.433,0.224,0.2645,10,2
78534,I,0.545,0.42,0.145,0.7305,0.325,0.1745,0.21,11,1
80511,I,0.43,0.345,0.11,0.3595,0.1635,0.081,0.111,8,1
10268,I,0.5,0.39,0.11,0.5805,0.2775,0.091,0.182,8,1
37765,M,0.565,0.45,0.15,1.0265,0.4915,0.2215,0.24,10,3
31318,M,0.6,0.475,0.18,1.0225,0.4715,0.25,0.31,10,3
46552,F,0.57,0.465,0.15,0.8015,0.3695,0.1755,0.2425,10,2
21862,M,0.625,0.49,0.17,1.1405,0.5265,0.268,0.285,9,3
21582,M,0.645,0.49,0.16,1.1345,0.3305,0.2275,0.32,10,3
70852,F,0.6,0.5,0.175,1.1325,0.3595,0.27,0.3885,16,2
48084,M,0.565,0.445,0.155,0.9355,0.421,0.183,0.26,9,3
21820,I,0.45,0.355,0.115,0.4635,0.2025,0.09,0.13,7,1
89958,M,0.56,0.435,0.16,0.873,0.2725,0.1715,0.275,10,3
66974,M,0.545,0.415,0.14,0.8705,0.4365,0.1835,0.24,8,3
88760,M,0.65,0.545,0.25,1.583,0.6405,0.3315,0.42,15,3
30457,F,0.655,0.54,0.185,1.4545,0.6185,0.345,0.35,10,2
60406,M,0.6,0.48,0.17,1.09,0.407,0.224,0.335,14,3
57568,I,0.465,0.35,0.115,0.5545,0.2075,0.122,0.175,9,1
12035,M,0.575,0.45,0.15,0.858,0.3475,0.1825,0.28,10,3
6759,F,0.6,0.47,0.175,1.0965,0.4145,0.2565,0.34,10,2
58135,F,0.605,0.46,0.155,1.049,0.491,0.217,0.285,8,2
12527,F,0.595,0.47,0.165,1.0285,0.4245,0.1935,0.3095,11,2
85974,F,0.63,0.49,0.175,1.3135,0.6415,0.3135,0.37,9,2
50761,M,0.61,0.48,0.18,1.1685,0.519,0.2705,0.3245,10,3
30188,I,0.555,0.425,0.13,0.7395,0.3135,0.1335,0.245,9,1
9462,M,0.61,0.47,0.16,0.913,0.3575,0.1725,0.29,10,3
38058,F,0.51,0.405,0.14,0.7245,0.271,0.1675,0.22,12,2
83905,M,0.55,0.43,0.135,0.807,0.2735,0.183,0.265,10,3
53201,M,0.575,0.455,0.165,1.0715,0.457,0.246,0.315,10,3
10374,M,0.53,0.43,0.14,0.8045,0.3685,0.159,0.2475,9,3
18887,F,0.61,0.47,0.175,1.2635,0.605,0.2635,0.345,10,2
55794,I,0.4,0.31,0.1,0.335,0.1275,0.0735,0.097,9,1
67744,I,0.415,0.31,0.105,0.3375,0.1445,0.0755,0.085,8,1
44571,M,0.65,0.51,0.175,1.3235,0.632,0.2775,0.3435,8,3
41502,F,0.55,0.425,0.165,0.903,0.3305,0.2225,0.295,13,2
57121,I,0.47,0.36,0.125,0.564,0.261,0.1055,0.14,8,1
23192,F,0.645,0.505,0.175,1.3555,0.5785,0.3515,0.32,9,2
2797,I,0.425,0.325,0.1,0.2875,0.125,0.0725,0.082,6,1
55705,I,0.36,0.245,0.09,0.1885,0.0935,0.0575,0.046,6,1
32253,M,0.71,0.565,0.215,2.009,0.9895,0.4475,0.502,12,3
35635,F,0.635,0.515,0.21,1.352,0.5435,0.2835,0.52,13,2
64983,M,0.645,0.525,0.19,1.539,0.7365,0.3125,0.48,14,3
69282,M,0.53,0.435,0.175,0.973,0.2985,0.2135,0.265,12,3
43063,I,0.465,0.35,0.12,0.4985,0.2125,0.11,0.14,10,1
34653,I,0.31,0.215,0.075,0.174,0.078,0.0325,0.0405,6,1
86572,I,0.275,0.215,0.065,0.1295,0.0415,0.0135,0.035,5,1
26766,I,0.235,0.145,0.045,0.0235,0.0075,0.009,0.012,3,1
77176,F,0.565,0.45,0.16,0.9955,0.4245,0.1685,0.27,10,2
87557,I,0.4,0.3,0.1,0.3315,0.1755,0.0725,0.095,8,1
62301,I,0.325,0.23,0.07,0.131,0.052,0.039,0.038,7,1
83991,F,0.65,0.47,0.205,1.2085,0.52,0.2695,0.344,10,2
34776,M,0.47,0.35,0.11,0.4775,0.2365,0.128,0.135,8,3
46307,F,0.465,0.365,0.12,0.439,0.1905,0.0935,0.14,10,2
24114,F,0.65,0.51,0.19,1.6075,0.6865,0.353,0.391,12,2
28438,M,0.595,0.47,0.145,0.9205,0.3135,0.2135,0.345,11,3
48557,I,0.47,0.35,0.125,0.6025,0.2385,0.103,0.1695,8,1
7520,M,0.58,0.46,0.145,0.8735,0.3785,0.1965,0.315,10,3
68527,M,0.58,0.465,0.135,1.077,0.484,0.2075,0.3,10,3
90419,M,0.715,0.57,0.175,2.0885,1.0615,0.4385,0.515,11,3
63276,I,0.55,0.4,0.14,0.6175,0.24,0.142,0.18,8,1
86700,M,0.64,0.51,0.17,1.129,0.4135,0.2415,0.3175,10,3
86563,F,0.59,0.475,0.22,1.3615,0.5115,0.296,0.39,15,2
70002,F,0.6,0.475,0.15,1.0565,0.4695,0.214,0.27,8,2
76986,I,0.385,0.3,0.09,0.308,0.1525,0.0565,0.07,6,1
40155,M,0.49,0.375,0.115,0.567,0.201,0.1155,0.21,17,3
78650,F,0.63,0.48,0.165,1.2315,0.5235,0.2425,0.337,10,2
28254,M,0.29,0.22,0.07,0.1285,0.053,0.026,0.035,7,3
77332,M,0.45,0.35,0.125,0.4915,0.2095,0.082,0.175,16,3
4009,I,0.575,0.465,0.14,0.852,0.377,0.173,0.2445,10,1
83467,I,0.325,0.23,0.07,0.149,0.0625,0.0205,0.045,7,1
78562,F,0.605,0.47,0.195,0.98,0.442,0.2175,0.35,10,2
16980,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,11,3
63007,I,0.46,0.34,0.11,0.386,0.1895,0.086,0.098,8,1
4287,I,0.435,0.335,0.11,0.355,0.1705,0.0805,0.105,7,1
55559,I,0.385,0.285,0.09,0.247,0.1255,0.0475,0.07,7,1
16884,M,0.555,0.435,0.14,0.8295,0.3835,0.1805,0.215,10,3
8639,I,0.375,0.275,0.1,0.228,0.1025,0.042,0.0725,7,1
17168,I,0.44,0.32,0.1,0.3785,0.1735,0.071,0.087,7,1
980,I,0.295,0.23,0.075,0.1285,0.063,0.0305,0.042,7,1
51264,I,0.41,0.3,0.09,0.3045,0.13,0.0625,0.081,7,1
52972,F,0.52,0.425,0.135,0.9175,0.45,0.2175,0.239,9,2
37094,I,0.525,0.425,0.14,0.778,0.368,0.174,0.195,9,1
45731,F,0.58,0.445,0.155,1.0005,0.454,0.205,0.295,13,2
77816,M,0.6,0.435,0.15,1.1155,0.481,0.2475,0.28,15,3
72674,F,0.61,0.47,0.155,1.066,0.545,0.2145,0.27,9,2
23980,M,0.53,0.425,0.13,0.776,0.294,0.1845,0.215,16,3
70980,I,0.265,0.18,0.065,0.091,0.028,0.026,0.0225,7,1
27888,F,0.685,0.51,0.175,1.6195,0.6725,0.314,0.48,10,2
18093,I,0.525,0.405,0.135,0.879,0.4,0.1635,0.185,9,1
6691,I,0.505,0.385,0.135,0.656,0.279,0.1495,0.18,9,1
72757,I,0.415,0.305,0.09,0.3465,0.1675,0.0745,0.1,9,1
26213,F,0.59,0.435,0.175,0.9705,0.4595,0.1905,0.335,10,2
15165,F,0.585,0.455,0.14,0.9175,0.4125,0.2045,0.26,9,2
24908,F,0.58,0.445,0.16,0.982,0.4545,0.1935,0.28,10,2
72324,M,0.64,0.6,0.19,1.4605,0.5635,0.3,0.71,17,3
32829,I,0.375,0.28,0.1,0.252,0.1065,0.038,0.08,7,1
71471,F,0.53,0.425,0.14,0.6615,0.2945,0.1545,0.189,8,2
61128,M,0.625,0.525,0.19,1.5865,0.6675,0.3045,0.445,20,3
31124,I,0.18,0.13,0.035,0.036,0.0155,0.005,0.01,3,1
