Manufacturer,Model,Sales_in_thousands,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
Acura,Integra,16.919,Passenger,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,58.28014952
Acura,TL,39.384,Passenger,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,91.37077766
Acura,CL,14.114,Passenger,22.799,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,72.03091719
Acura,RL,8.588,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,91.38977933
Audi,A4,20.397,Passenger,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,62.7776392
Audi,A6,18.78,Passenger,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,84.56510502
Audi,A8,1.38,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,134.6568582
BMW,323i,19.747,Passenger,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,71.19120671
BMW,328i,9.231,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,81.87706856
BMW,528i,17.527,Passenger,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,83.9987238
Buick,Century,91.561,Passenger,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,71.18145132
Buick,Regal,39.35,Passenger,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,95.63670253
Buick,Park Avenue,27.851,Passenger,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,85.82840825
Buick,LeSabre,83.257,Passenger,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,84.25452581
Cadillac,DeVille,63.729,Passenger,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,113.8545976
Cadillac,Seville,15.943,Passenger,44.475,4.6,275.0,112.2,75.0,201.0,3.342,18.5,22.0,115.6213578
Cadillac,Eldorado,6.536,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,113.7658739
Cadillac,Catera,11.185,Passenger,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,83.48309358
Cadillac,Escalade,14.785,Car,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,109.5091165
Chevrolet,Cavalier,145.519,Passenger,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,46.36334747
Chevrolet,Malibu,135.126,Passenger,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,67.31446216
Chevrolet,Lumina,24.629,Passenger,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,69.9913956
Chevrolet,Monte Carlo,42.593,Passenger,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,72.03091719
Chevrolet,Camaro,26.402,Passenger,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,81.11854333
Chevrolet,Corvette,17.947,Passenger,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,141.14115
Chevrolet,Prizm,32.299,Passenger,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,48.2976361
Chevrolet,Metro,21.855,Passenger,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,23.27627233
Chevrolet,Impala,107.995,Passenger,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,71.83803944
Chrysler,Sebring Coupe,7.854,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,65.95718396
Chrysler,Sebring Conv.,32.775,Passenger,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,69.52135505
Chrysler,Concorde,31.148,Passenger,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,80.02378204
Chrysler,Cirrus,32.306,Passenger,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,53.56619987
Chrysler,LHS,13.462,Passenger,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,101.3292807
Chrysler,Town & Country,53.48,Car,22.799,3.0,177.5,107.0,70.55,187.9,3.342,17.2,24.0,72.03091719
Chrysler,300M,30.696,Passenger,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,101.6552441
Dodge,Neon,76.034,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,52.08489875
Dodge,Avenger,4.734,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,65.65050834
Dodge,Stratus,71.186,Passenger,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,67.87610784
Dodge,Intrepid,88.028,Passenger,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24.0,80.83147017
Dodge,Viper,0.916,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,188.144323
Dodge,Ram Pickup,227.061,Car,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,90.21170005
Dodge,Ram Wagon,16.767,Car,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,71.13529161
Dodge,Ram Van,31.038,Car,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,70.07832154
Dodge,Dakota,111.313,Car,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,49.64500177
Dodge,Durango,101.323,Car,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,92.85412522
Dodge,Caravan,181.749,Car,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,61.22700031
Ford,Escort,70.227,Passenger,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,44.08370946
Ford,Mustang,113.369,Passenger,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,76.50918456
Ford,Contour,35.068,Passenger,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,67.35101072
