Booking ID,Booking Status,DateTime,Vehicle Type,Pickup Location,Drop Location,Booking Value,Avg VTAT
"""CNR5259986""",Completed,2024-10-03 06:15:38,Go Sedan,Samaypur Badli,Hero Honda Chowk,269.0,4.2
"""CNR1351335""",Completed,2024-12-07 15:35:47,Go Mini,Gurgaon Sector 29,Lajpat Nagar,352.0,11.3
"""CNR2033265""",Completed,2024-12-06 21:05:39,Go Mini,Sonipat,Rohini,313.0,8.7
"""CNR4076785""",Completed,2024-12-03 09:55:48,Premier Sedan,Shastri Park,Sarai Kale Khan,365.0,3.5
"""CNR8894376""",Completed,2024-05-30 14:52:48,Auto,Akshardham,Noida Sector 62,638.0,2.3
"""CNR1726678""",Completed,2024-05-19 15:21:24,Go Mini,Noida Film City,Vishwavidyalaya,887.0,11.4
"""CNR2600511""",Completed,2024-12-25 08:36:52,Go Mini,Sarai Kale Khan,Laxmi Nagar,221.0,14.2
"""CNR2717765""",Completed,2024-09-12 13:43:58,Premier Sedan,Connaught Place,Meerut,367.0,13.1
"""CNR1652765""",Incomplete,2024-12-01 10:40:22,Bike,Rohini West,Lok Kalyan Marg,485.0,7.1
"""CNR9492586""",Completed,2024-07-16 05:42:27,Go Mini,New Colony,Patel Chowk,257.0,7.6
"""CNR8215682""",Completed,2024-02-10 16:14:46,Auto,Greater Noida,Khandsa,896.0,11.0
"""CNR9312414""",Completed,2024-01-13 21:58:45,Auto,Meerut,Nawada,310.0,4.3
"""CNR6886384""",Completed,2024-11-19 15:02:29,eBike,Netaji Subhash Place,Narsinghpur,297.0,14.3
"""CNR6495467""",Completed,2024-03-16 08:32:15,Bike,Mansarovar Park,New Colony,1177.0,11.1
"""CNR2835455""",Completed,2024-07-04 18:24:57,eBike,GTB Nagar,Kirti Nagar,619.0,8.2
"""CNR7766262""",Completed,2024-02-07 17:45:00,Premier Sedan,Kherki Daula Toll,DLF Phase 3,462.0,10.6
"""CNR5104274""",Completed,2024-11-12 22:44:07,Go Mini,Green Park,Saket A Block,427.0,11.2
"""CNR3315619""",Completed,2024-05-10 06:20:31,Go Mini,Delhi Gate,Jama Masjid,320.0,3.1
"""CNR4918246""",Completed,2024-04-08 17:49:20,Go Mini,Jor Bagh,Keshav Puram,425.0,10.4
"""CNR7128155""",Completed,2024-06-24 20:25:31,Auto,Noida Film City,Tughlakabad,998.0,6.7
"""CNR8336735""",Completed,2024-10-18 08:12:03,Premier Sedan,Mayur Vihar,Chandni Chowk,414.0,13.4
"""CNR8732810""",Completed,2024-12-14 18:45:44,Go Sedan,Keshav Puram,Lal Quila,121.0,8.4
"""CNR5058425""",Completed,2024-07-06 17:26:43,Go Mini,Sarojini Nagar,INA Market,1241.0,11.1
"""CNR5958696""",Completed,2024-04-15 08:32:29,Go Sedan,Madipur,Manesar,213.0,14.3
"""CNR2416214""",Completed,2024-03-29 09:11:33,Auto,Kashmere Gate,Arjangarh,671.0,12.2
"""CNR7374583""",Completed,2024-02-02 15:25:55,Premier Sedan,Moolchand,ITO,490.0,6.5
"""CNR4177415""",Completed,2024-07-11 11:23:19,Premier Sedan,Uttam Nagar,Panipat,610.0,14.1
"""CNR9924856""",Completed,2024-01-15 21:26:16,Auto,Ramesh Nagar,Rohini West,1001.0,12.2
"""CNR6408706""",Completed,2024-01-07 23:33:25,Premier Sedan,Patel Chowk,Nehru Place,1101.0,2.0
"""CNR4022181""",Completed,2024-12-11 19:04:03,Go Sedan,Saidulajab,Okhla,558.0,12.0
"""CNR5318170""",Completed,2024-04-23 08:30:02,Go Sedan,Chhatarpur,Paschim Vihar,646.0,10.0
"""CNR4712889""",Completed,2024-10-31 20:43:20,Auto,Mayur Vihar,Rohini,2704.0,5.6
"""CNR7252097""",Completed,2024-02-25 15:55:20,Go Sedan,Nawada,Delhi Gate,730.0,14.6
"""CNR1941394""",Completed,2024-02-07 11:28:33,Bike,Rohini East,Ghitorni,678.0,4.6
"""CNR6575694""",Incomplete,2024-09-23 21:49:51,Auto,Pulbangash,Akshardham,452.0,7.7
"""CNR8559128""",Completed,2024-10-14 12:28:08,Auto,Rajiv Nagar,Bahadurgarh,836.0,11.6
"""CNR1590185""",Completed,2024-01-17 18:36:15,Go Mini,New Delhi Railway Station,Rithala,109.0,5.1
"""CNR6103529""",Incomplete,2024-05-17 11:31:06,eBike,Jor Bagh,Hauz Khas,726.0,3.6
"""CNR6363970""",Completed,2024-04-16 18:36:55,Go Sedan,Udyog Bhawan,IFFCO Chowk,519.0,4.9
"""CNR2591553""",Completed,2024-06-01 18:22:17,Bike,Maidan Garhi,Karol Bagh,267.0,14.5
"""CNR8752515""",Incomplete,2024-11-09 18:05:04,Auto,Paschim Vihar,Welcome,404.0,9.8
"""CNR2832932""",Completed,2024-09-19 22:34:44,Bike,Noida Film City,Faridabad Sector 15,899.0,7.1
"""CNR4413354""",Completed,2024-09-27 12:59:18,Auto,Rohini West,Pitampura,294.0,12.7
"""CNR5307735""",Completed,2024-08-24 15:00:48,Premier Sedan,Noida Sector 18,Kashmere Gate ISBT,756.0,8.6
"""CNR5222189""",Completed,2024-08-19 03:53:28,Go Sedan,Noida Sector 18,Huda City Centre,417.0,11.5
"""CNR2541239""",Completed,2024-06-30 23:59:40,Go Mini,DLF Phase 3,Badshahpur,755.0,8.8
"""CNR2312430""",Completed,2024-08-26 11:54:21,eBike,Anand Vihar ISBT,Vishwavidyalaya,81.0,11.1
"""CNR2103354""",Completed,2024-05-18 14:10:46,Bike,Anand Vihar,Vasant Kunj,480.0,5.0
"""CNR2006666""",Completed,2024-03-05 22:28:34,Go Mini,Seelampur,Ghitorni Village,319.0,8.8
"""CNR1758100""",Completed,2024-10-04 14:49:19,Auto,Rohini West,Kashmere Gate ISBT,805.0,10.5
"""CNR6124395""",Completed,2024-10-30 14:39:10,Go Mini,Gurgaon Sector 56,Qutub Minar,422.0,7.5
"""CNR3734577""",Completed,2024-10-01 20:07:52,Go Mini,Madipur,Manesar,162.0,14.6
"""CNR7294023""",Incomplete,2024-02-24 18:04:38,Auto,Keshav Puram,Vasant Kunj,218.0,3.8
"""CNR8512722""",Completed,2024-05-05 18:11:43,Go Mini,Samaypur Badli,Sonipat,446.0,8.1
"""CNR3628440""",Completed,2024-10-16 04:52:04,Go Mini,Kirti Nagar,Noida Extension,890.0,4.2
"""CNR8486373""",Incomplete,2024-02-22 19:23:16,Premier Sedan,Greater Noida,Pataudi Chowk,976.0,8.5
"""CNR8888208""",Completed,2024-04-14 08:34:38,Auto,Sarai Kale Khan,Inderlok,719.0,3.1
"""CNR6784305""",Completed,2024-07-06 14:59:17,Go Mini,Shivaji Park,Laxmi Nagar,3303.0,11.9
"""CNR4648667""",Completed,2024-04-07 12:55:50,Go Mini,Nehru Place,Arjangarh,1261.0,3.2
"""CNR1282098""",Completed,2024-12-16 10:41:11,Auto,IMT Manesar,Subhash Nagar,239.0,4.9
"""CNR9646752""",Completed,2024-06-03 13:52:15,Go Mini,Hauz Khas,Ghitorni,804.0,14.3
"""CNR6338955""",Completed,2024-07-28 18:49:30,Go Sedan,Gurgaon Sector 29,Sushant Lok,913.0,2.1
