geoid,name,year,total_pop,plumbing,percent_lacking_plumbing
1069,"Houston County, Alabama",2022,108079,93.0,0.0860481684693603
4001,"Apache County, Arizona",2022,65432,2440.0,3.729062232546766
6037,"Los Angeles County, California",2022,9721138,6195.0,0.0637271068469555
6097,"Sonoma County, California",2022,482650,148.0,0.0306640422666528
6001,"Alameda County, California",2022,1628997,808.0,0.0496010735440273
6045,"Mendocino County, California",2022,89783,18.0,0.0200483387723733
8077,"Mesa County, Colorado",2022,158636,128.0,0.080687864040949
6055,"Napa County, California",2022,134300,0.0,0.0
10005,"Sussex County, Delaware",2022,255956,123.0,0.0480551344762381
12086,"Miami-Dade County, Florida",2022,2673837,1377.0,0.0514990255576536
12071,"Lee County, Florida",2022,822453,163.0,0.0198187616799987
12033,"Escambia County, Florida",2022,324878,530.0,0.1631381626333577
17031,"Cook County, Illinois",2022,5109292,2542.0,0.0497524901688922
13245,"Richmond County, Georgia",2022,206640,180.0,0.0871080139372822
13103,"Effingham County, Georgia",2022,69041,0.0,0.0
16027,"Canyon County, Idaho",2022,251065,109.0,0.0434150518789954
26103,"Marquette County, Michigan",2022,66661,92.0,0.1380117309971347
19163,"Scott County, Iowa",2022,173924,181.0,0.1040684436880476
36067,"Onondaga County, New York",2022,468249,210.0,0.0448479334712941
36071,"Orange County, New York",2022,405941,234.0,0.0576438447951795
8031,"Denver County, Colorado",2022,713252,133.0,0.0186469859180205
21093,"Hardin County, Kentucky",2022,111862,103.0,0.0920777386422556
26099,"Macomb County, Michigan",2022,874195,538.0,0.0615423332322879
22051,"Jefferson Parish, Louisiana",2022,425884,83.0,0.0194888749049036
2170,"Matanuska-Susitna Borough, Alaska",2022,113325,950.0,0.8382969335980588
24005,"Baltimore County, Maryland",2022,846161,589.0,0.0696085024008433
24031,"Montgomery County, Maryland",2022,1052521,370.0,0.0351536928954386
1051,"Elmore County, Alabama",2022,89563,135.0,0.1507318870515726
25001,"Barnstable County, Massachusetts",2022,232457,293.0,0.1260448168908658
25013,"Hampden County, Massachusetts",2022,461041,362.0,0.0785179626107005
1055,"Etowah County, Alabama",2022,103088,38.0,0.0368617103833617
1115,"St. Clair County, Alabama",2022,93932,376.0,0.4002895711791508
27137,"St. Louis County, Minnesota",2022,199532,499.0,0.2500851993665176
29031,"Cape Girardeau County, Missouri",2022,82899,31.0,0.0373949022304249
30031,"Gallatin County, Montana",2022,124857,0.0,0.0
34011,"Cumberland County, New Jersey",2022,151356,8.0,0.0052855519437617
34041,"Warren County, New Jersey",2022,110926,0.0,0.0
34005,"Burlington County, New Jersey",2022,466103,132.0,0.028319920704222
34023,"Middlesex County, New Jersey",2022,861418,222.0,0.0257714605452869
37031,"Carteret County, North Carolina",2022,69380,81.0,0.1167483424618045
39035,"Cuyahoga County, Ohio",2022,1236041,689.0,0.0557424875064823
41033,"Josephine County, Oregon",2022,87730,126.0,0.1436224780576769
42045,"Delaware County, Pennsylvania",2022,575182,296.0,0.051461972036677
42049,"Erie County, Pennsylvania",2022,267689,173.0,0.0646272353365285
45091,"York County, South Carolina",2022,294248,0.0,0.0
45057,"Lancaster County, South Carolina",2022,104577,110.0,0.1051856526769748
47065,"Hamilton County, Tennessee",2022,374682,31.0,0.0082736827496383
47163,"Sullivan County, Tennessee",2022,160820,44.0,0.027359781121751
47009,"Blount County, Tennessee",2022,139958,112.0,0.0800240072021606
48201,"Harris County, Texas",2022,4780913,5424.0,0.1134511337060515
54107,"Wood County, West Virginia",2022,83340,30.0,0.0359971202303815
51107,"Loudoun County, Virginia",2022,432085,104.0,0.0240693382089172
53027,"Grays Harbor County, Washington",2022,77038,0.0,0.0
53053,"Pierce County, Washington",2022,927380,740.0,0.0797946904181673
6101,"Sutter County, California",2022,98503,36.0,0.0365471102402972
12097,"Osceola County, Florida",2022,422545,0.0,0.0
12119,"Sumter County, Florida",2022,144970,162.0,0.1117472580533903
12107,"Putnam County, Florida",2022,74731,0.0,0.0
13135,"Gwinnett County, Georgia",2022,975353,401.0,0.0411133199979904
13217,"Newton County, Georgia",2022,117621,0.0,0.0
25015,"Hampshire County, Massachusetts",2022,162588,159.0,0.0977931950697468
27139,"Scott County, Minnesota",2022,154520,76.0,0.0491845715764949
28121,"Rankin County, Mississippi",2022,158979,173.0,0.1088194038206304
30013,"Cascade County, Montana",2022,84864,49.0,0.0577394419306184
36053,"Madison County, New York",2022,67097,123.0,0.1833166907611368
37147,"Pitt County, North Carolina",2022,173542,60.0,0.0345737631236242
37085,"Harnett County, North Carolina",2022,138832,0.0,0.0
37125,"Moore County, North Carolina",2022,105531,0.0,0.0
