Company Name,Country,Sales,Profit,Assets,Market Value
JPMorgan Chase,United States,179930.0,41800.0,3744300.0,399590.0
Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,589470.0,156360.0,660990.0,2055219.9999999998
ICBC,China,216770.0,52470.0,6116820.0,203010.0
China Construction Bank,China,203080.0,48250.0,4977480.0,172990.0
Agricultural Bank of China,China,186140.0,37920.0,5356860.0,141820.0
Bank of America,United States,133840.0,28620.0,3194660.0,220820.0
Alphabet,United States,282850.0,58590.0,369490.0,1340530.0
ExxonMobil,United States,393160.0,61690.0,369370.0,439390.0
Microsoft,United States,207590.0,69020.0,380090.0,2309840.0
Apple,United States,385100.0,94320.0,332160.0,2746210.0
Shell,United Kingdom,365890.0,43510.0,429150.0,205450.0
Bank of China,China,158230.0,33230.0,4421760.0,122670.0
Toyota Motor,Japan,270490.0,18500.0,542500.0,188200.0
Samsung Electronics,South Korea,220070.0,34490.0,348810.0,334310.0
UnitedHealth Group,United States,335940.0,20700.0,283680.0,460190.0
Ping An Insurance Group,China,166370.0,12640.0,1598490.0,138560.0
Wells Fargo,United States,108930.0,14500.0,1886400.0,142360.0
Chevron,United States,232120.0,35780.0,255890.0,303540.0
PetroChina,China,457400.0,22180.0,384580.0,122910.0
HSBC Holdings,United Kingdom,73980.0,22190.0,2989700.0,151190.0
TotalEnergies,France,257589.99999999997,21120.0,293030.0,151640.0
Verizon Communications,United States,136190.0,21590.0,377720.0,159040.0
Walmart,United States,611290.0,11680.0,243200.0,409120.0
Citigroup,United States,120420.0,15020.0,2455110.0,90030.0
China Mobile,Hong Kong,140530.0,18760.0,290000.0,186410.0
China Merchants Bank,China,72440.0,20560.0,1458480.0,129840.0
Postal Savings Bank Of China (PSBC),China,82510.0,12780.0,2023570.0,110180.0
BP,United Kingdom,248110.0,25890.0,278660.0,108300.0
Volkswagen Group,Germany,293470.0,15630.0,633780.0,70160.0
Morgan Stanley,United States,74160.0,10340.0,1199900.0,141760.0
Meta Platforms,United States,117350.0,21440.0,184490.0,599820.0
Sinopec,China,453560.0,9850.0,283300.0,114320.0
BNP Paribas,France,99470.0,10110.0,2845690.0,78590.0
