Sex,Age,N_skips,N_classes,Level_num,score,target
1,18,10,3,1,50.66543823815521,1
0,25,5,2,2,70.10778282711038,1
1,32,2,4,3,91.61308486029888,1
0,41,8,1,2,41.308916251229704,0
1,16,15,5,1,27.523502454175723,0
0,55,0,3,3,91.72886034062039,1
1,29,7,2,2,49.82222499858272,1
0,38,1,6,3,88.34269353718827,1
1,46,4,1,2,45.2146884398289,0
0,19,12,4,1,77.85907337974645,1
1,52,3,2,3,70.12828645349397,1
0,23,6,5,2,57.40691256146555,1
1,36,9,3,3,42.95964199848835,1
0,44,11,1,2,54.42067925745149,1
1,20,8,4,1,40.89723642370654,1
0,58,2,2,3,68.21721775623148,0
1,30,5,6,2,96.72948762993286,1
0,47,0,3,3,61.23967557734932,0
1,27,10,1,2,37.87921293476783,0
0,34,7,5,1,51.794409512793784,1
1,42,4,2,3,55.122496273754564,1
0,17,9,4,2,47.52031070127205,0
1,50,1,3,3,64.26588371734906,1
0,22,13,1,1,1.9108905024910223,0
1,39,6,5,2,90.9665840452281,1
0,49,3,2,3,75.49573327675206,1
1,21,8,4,2,72.62698705051737,1
0,53,0,3,3,73.09732694110811,1
1,31,11,1,1,29.273195074883958,0
0,40,5,6,2,68.02235406246217,1
1,26,2,2,3,68.93480103324782,1
0,37,9,4,2,70.76329854972138,1
1,45,1,3,3,94.50170334294616,1
0,15,12,1,1,18.688363462668693,0
1,51,6,5,2,62.92405634838361,1
0,24,3,2,3,83.6891967937521,1
1,33,8,4,2,100.0,1
0,43,0,3,3,64.82761044588402,1
1,19,10,1,1,50.406505379518606,0
0,56,5,6,2,43.12321950634927,0
1,28,2,2,3,58.30812417220559,1
0,35,9,4,2,58.6877751239996,1
1,48,1,3,3,66.28769661344434,1
0,16,11,1,1,16.11251826199731,0
1,54,6,5,2,51.88771373081219,1
0,25,3,2,3,37.02655731644148,1
1,38,8,4,2,50.251705091588676,1
0,46,0,3,3,44.300125699046575,0
1,20,10,1,1,45.64899848945383,0
0,57,5,6,2,68.75353270766205,1
1,29,2,2,3,74.61451467734855,0
0,36,9,4,2,66.87620045805303,1
1,44,1,3,3,54.2820850069691,0
0,18,11,1,1,49.87070995672417,1
1,52,6,5,2,51.936706803200494,0
0,23,3,2,3,80.45180238175107,1
1,34,8,4,2,80.3363015318411,1
0,42,0,3,3,81.28498764800594,1
1,21,10,1,1,11.604615661754867,0
0,55,5,6,2,67.80996028990073,0
1,27,2,2,3,89.60596519917267,1
0,39,9,4,2,56.03471317300478,1
1,47,1,3,3,81.92713252395708,1
0,17,11,1,1,17.419967248810433,0
1,53,6,5,2,75.92966986978244,1
0,26,3,2,3,71.3045674693784,1
1,37,8,4,2,82.10171764172804,0
0,45,0,3,3,67.28533486486013,1
1,22,10,1,1,30.157515600541885,0
0,59,5,6,2,71.18753314678865,1
1,30,2,2,3,66.68890589439438,1
0,41,9,4,2,63.83463649392505,1
1,49,1,3,3,78.87193805911615,1
0,19,11,1,1,38.26548000511196,0
1,56,6,5,2,39.41506450203851,0
0,24,3,2,3,75.27427207159904,1
1,35,8,4,2,37.802853194586504,0
0,43,0,3,3,56.00596704913355,1
1,20,10,1,1,0.0,0
0,58,5,6,2,71.04066538504277,1
1,28,2,2,3,73.65625707325705,1
0,38,9,4,2,51.22640150491931,1
1,46,1,3,3,65.16796479647641,1
0,16,11,1,1,8.694996618370642,0
1,54,6,5,2,94.90781956291686,1
0,25,3,2,3,53.464500164063466,1
1,36,8,4,2,72.20264062894695,1
0,44,0,3,3,78.35009506818541,1
1,21,10,1,1,26.87508901082838,0
0,57,5,6,2,73.72930439868784,1
1,29,2,2,3,56.112902074330776,0
0,40,9,4,2,42.571028558079355,0
1,48,1,3,3,66.69010778144556,0
0,18,11,1,1,41.617832695739985,0
1,55,6,5,2,56.34190672320695,1
0,23,3,2,3,72.3476631266062,1
1,34,8,4,2,49.06360938642849,0
0,42,0,3,3,86.07989419101906,1
1,22,10,1,1,36.76360428567501,0
0,59,5,6,2,70.49530202433255,1
