series_name,genre,platform,release_year,imdb_rating
Stranger Things,Sci-Fi,Netflix,2016,8.6
The Crown,Drama,Netflix,2016,8.6
Breaking Bad,Crime,Netflix,2008,9.5
Friends,Comedy,HBO Max,1994,8.9
The Office,Comedy,Peacock,2005,8.8
Game of Thrones,Fantasy,HBO Max,2011,9.2
The Witcher,Fantasy,Netflix,2019,8.2
Ozark,Crime,Netflix,2017,8.5
Bridgerton,Romance,Netflix,2020,7.4
The Mandalorian,Sci-Fi,Disney+,2019,8.7
Better Call Saul,Crime,Netflix,2015,9.0
The Bear,Comedy,Hulu,2022,8.4
Wednesday,Comedy,Netflix,2022,8.0
The Last of Us,Drama,HBO Max,2023,8.7
House of the Dragon,Fantasy,HBO Max,2022,8.4
Succession,Drama,HBO Max,2018,8.8
Ted Lasso,Comedy,Apple TV+,2020,8.8
Only Murders in the Building,Comedy,Hulu,2021,8.1
Squid Game,Thriller,Netflix,2021,8.0
The White Lotus,Drama,HBO Max,2021,7.9
