user_id,series_name,rating,episodes_watched,watch_date,recommend,age_group,country,watch_duration
1916,Breaking Bad,9.0,6,2024-12-21,1,35-44,UK,18
1892,House of the Dragon,7.5,5,2024-03-28,1,25-34,USA,57
1001,Succession,9.5,3,2024-05-18,1,35-44,India,47
1885,Game of Thrones,8.5,1,2024-05-13,0,18-24,Canada,51
1679,Game of Thrones,10.0,2,2024-01-14,1,25-34,UK,37
1624,Friends,9.5,17,2024-03-23,1,18-24,Canada,5
1435,The Mandalorian,8.5,2,2024-03-06,1,25-34,UK,24
1410,The Witcher,10.0,12,2024-07-10,0,18-24,Brazil,42
1248,Ted Lasso,8.5,1,2024-03-19,1,35-44,USA,32
1647,Wednesday,7.5,19,2024-07-07,1,45-54,France,28
1217,Game of Thrones,9.0,11,2024-02-11,1,45-54,Germany,19
1643,Wednesday,9.0,5,2024-02-21,1,55+,USA,8
1269,Stranger Things,8.0,7,2024-01-30,1,45-54,India,37
1362,The Bear,10.0,4,2024-06-13,0,25-34,UK,14
1357,Stranger Things,8.0,17,2024-04-04,1,25-34,USA,27
1953,Friends,8.5,1,2024-08-15,1,25-34,Australia,9
1134,Bridgerton,7.0,2,2024-04-28,1,35-44,India,46
1952,Succession,9.5,9,2024-03-07,1,45-54,Canada,47
1355,The Office,8.5,9,2024-12-29,1,18-24,USA,27
1928,Friends,10.0,9,2024-01-19,1,35-44,Japan,5
1949,The Mandalorian,10.0,7,2024-07-30,1,35-44,UK,27
1687,Only Murders in the Building,9.5,13,2024-03-26,1,35-44,France,23
1021,Game of Thrones,10.0,6,2024-10-20,0,18-24,UK,5
1075,The Crown,10.0,7,2024-05-05,1,45-54,Germany,84
1069,Succession,7.5,12,2024-10-18,1,25-34,Japan,48
1225,Ted Lasso,9.5,10,2024-04-08,1,45-54,Germany,10
1854,Friends,10.0,9,2024-09-27,1,25-34,Canada,12
1167,The Witcher,7.5,17,2024-09-23,1,45-54,Australia,41
1478,Breaking Bad,8.5,5,2024-03-31,1,25-34,USA,21
1660,Stranger Things,9.0,8,2024-11-13,1,45-54,UK,15
1501,The Office,8.0,7,2024-07-20,1,25-34,Brazil,14
1041,Only Murders in the Building,7.0,19,2024-03-13,0,35-44,India,10
1540,House of the Dragon,8.0,6,2024-02-24,0,45-54,India,40
1981,Stranger Things,8.5,2,2024-02-06,1,35-44,USA,64
1791,Friends,9.0,12,2024-05-02,0,25-34,France,14
1797,Game of Thrones,10.0,16,2024-05-17,1,18-24,UK,43
1615,The Bear,9.5,7,2024-12-26,1,25-34,UK,12
1459,Succession,8.5,8,2024-07-31,1,18-24,USA,5
1657,Game of Thrones,7.0,7,2024-12-18,1,45-54,UK,27
1208,Succession,8.0,4,2024-04-04,1,35-44,USA,54
1586,The Witcher,7.5,9,2024-03-28,1,35-44,UK,33
1627,Wednesday,9.5,11,2024-12-19,1,45-54,USA,40
1979,House of the Dragon,8.0,19,2024-10-29,1,25-34,USA,41
1486,Game of Thrones,8.5,4,2024-12-14,1,25-34,France,40
1975,The Last of Us,9.0,4,2024-10-11,1,35-44,USA,52
1156,Friends,10.0,10,2024-06-24,1,35-44,Canada,8
1124,The Office,9.5,14,2024-06-04,1,25-34,USA,11
1032,The Crown,8.5,10,2024-05-07,1,35-44,USA,54
1565,The Witcher,8.0,6,2024-11-16,0,18-24,India,39
1572,The Mandalorian,9.0,18,2024-06-22,1,18-24,Germany,12
1939,The Crown,8.5,6,2024-02-12,1,25-34,France,53
1280,The Office,9.0,15,2024-04-25,0,18-24,USA,6
1522,The Crown,9.5,1,2024-06-08,1,25-34,Canada,28
1665,Ted Lasso,8.5,9,2024-10-21,0,25-34,USA,5
1130,Breaking Bad,10.0,3,2024-01-22,1,18-24,USA,41
1972,Ted Lasso,10.0,14,2024-05-26,1,25-34,Japan,5
1525,Game of Thrones,8.5,8,2024-11-08,1,35-44,USA,8
1714,Friends,9.0,5,2024-05-10,1,55+,UK,12
1884,The Mandalorian,9.0,6,2024-11-29,1,45-54,USA,28
1800,Game of Thrones,10.0,3,2024-02-16,1,18-24,USA,26
1599,Only Murders in the Building,8.0,15,2024-10-11,1,35-44,USA,34
1230,Only Murders in the Building,7.5,9,2024-08-12,1,45-54,UK,29
1485,Breaking Bad,7.5,3,2024-05-12,1,55+,UK,42
