price,totsp,walk
81,58,1
75,44,1
128,70,1
95,61,1
330,104,0
137,76,1
98,59,0
88,55,1
225,80,1
140,86,1
132,96,0
115,77,1
142,70,1
84,63,0
100,66,0
110,75,0
170,87,1
175,79,1
96,60,1
110,85,0
170,84,1
125,62,1
135,72,1
95,58,1
148,92,1
56,68,0
135,82,1
130,73,1
72,49,0
127,85,1
140,65,1
112,73,0
120,83,1
130,70,1
110,75,1
450,125,1
159,81,1
120,77,1
132,77,0
169,68,1
185,75,1
92,61,1
88,60,0
90,58,1
115,77,1
265,100,0
129,79,1
110,65,1
102,60,0
101,77,0
86,60,0
115,75,0
87,64,1
140,99,1
219,113,1
79,51,1
180,81,1
89,62,0
340,83,1
112,75,0
99,67,0
170,89,1
198,80,0
89,51,1
193,78,1
100,57,1
135,77,0
100,78,0
136,64,1
133,80,1
145,85,1
105,79,0
97,53,1
220,103,1
125,77,1
110,81,1
153,87,1
137,74,0
85,59,1
95,64,1
115,67,0
76,55,0
139,80,1
350,80,1
105,66,1
110,51,1
99,66,1
90,60,1
130,80,1
165,65,1
130,75,0
158,78,1
380,130,0
210,80,1
116,75,0
140,76,1
130,86,1
82,51,1
208,115,1
99,65,1
110,77,1
470,120,1
105,57,1
169,70,1
94,64,1
136,78,0
88,55,1
130,81,1
150,87,1
84,58,1
74,60,0
138,77,0
125,62,1
105,57,1
138,70,1
129,86,0
120,56,1
95,64,1
82,56,0
74,51,1
110,83,1
87,60,0
190,81,0
90,58,1
152,79,1
120,74,1
195,83,1
144,80,1
149,78,1
140,56,1
105,57,1
185,73,1
115,78,1
115,74,1
106,58,0
92,64,0
105,56,1
120,82,1
52,86,0
169,95,0
225,80,1
94,59,0
99,76,1
86,51,1
177,80,1
113,75,1
110,76,1
145,78,1
90,56,1
199,127,0
372,158,1
95,58,1
78,51,1
135,84,0
100,80,1
153,76,0
95,65,1
103,60,1
114,80,1
113,85,0
108,80,0
107,74,0
100,77,0
106,76,0
84,60,0
139,73,0
106,76,0
124,78,1
112,65,1
110,65,0
80,60,0
115,58,1
110,83,1
138,68,1
50,63,0
132,77,1
80,58,1
88,59,1
194,106,0
130,78,0
86,50,0
128,70,1
155,85,1
270,105,1
85,60,0
135,76,1
200,122,1
90,51,1
133,65,1
103,69,0
89,61,1
81,56,1
106,58,1
166,77,1
78,55,1
110,77,0
120,74,1
100,80,0
127,76,0
150,75,1
99,79,1
118,67,1
120,63,1
85,64,1
167,78,1
105,58,1
130,56,1
125,80,0
86,59,1
105,60,1
118,68,1
107,75,1
100,65,1
195,83,1
120,66,1
95,60,1
110,58,1
80,55,1
97,75,0
92,63,1
130,75,1
235,92,1
93,60,1
95,82,1
115,77,1
140,76,1
92,82,0
89,60,1
230,103,1
95,64,1
156,83,1
135,77,1
125,78,0
122,74,1
140,85,0
95,64,1
105,65,0
150,78,1
136,74,0
170,80,1
105,75,1
125,82,0
73,61,0
93,78,0
95,64,1
225,101,1
108,65,1
92,60,0
90,57,1
145,85,0
93,67,0
160,80,1
93,62,1
90,57,1
79,55,0
95,73,1
110,75,0
125,66,1
299,99,1
127,77,1
112,75,1
84,58,1
195,110,1
170,81,1
95,67,0
450,145,1
160,85,1
165,78,1
80,56,1
125,78,1
120,77,0
226,82,1
105,66,1
120,66,0
150,77,1
103,77,0
115,57,0
140,87,1
185,80,1
120,80,1
82,57,1
130,74,1
110,70,0
90,61,1
185,108,0
146,80,1
105,68,1
193,100,0
75,51,0
138,65,1
115,63,0
93,59,0
123,83,1
120,82,0
90,66,1
86,56,0
103,64,1
85,59,0
123,85,1
110,69,1
88,60,0
116,75,0
119,71,0
130,80,0
85,55,0
93,79,0
127,79,1
143,77,0
105,77,0
177,74,1
73,54,1
145,74,0
99,72,0
91,60,1
122,68,0
147,74,1
84,76,1
73,51,1
85,58,0
135,68,0
116,75,1
136,76,0
88,56,0
153,87,0
135,74,1
135,74,1
100,68,1
115,66,1
120,69,1
149,84,0
98,56,1
85,60,1
169,80,1
100,55,1
125,64,1
95,55,1
114,75,1
105,78,1
125,75,1
100,65,1
93,64,1
165,99,0
72,52,0
125,78,1
250,74,1
165,87,1
148,84,1
130,81,0
148,74,1
123,79,1
149,77,1
97,55,1
80,50,0
100,58,0
105,75,0
80,52,1
120,100,0
78,59,0
209,90,1
190,81,1
88,51,1
135,85,0
185,90,1
299,100,1
111,81,0
102,65,1
94,65,1
165,79,1
164,90,1
110,63,1
137,78,1
97,57,0
155,80,1
153,75,1
132,88,1
110,74,1
103,63,0
79,49,1
200,121,1
85,59,0
108,66,1
125,81,1
145,90,1
250,74,1
140,78,1
160,79,1
122,96,0
100,63,1
87,55,1
92,69,0
150,77,1
150,112,0
88,61,1
100,78,1
92,64,1
112,76,1
90,65,1
140,85,1
100,75,0
