Name,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Wii Sports,2006.0,Sports,Nintendo,82.53,76.0,8
Super Mario Bros.,1985.0,Platform,Nintendo,40.24,,
Mario Kart Wii,2008.0,Racing,Nintendo,35.52,82.0,8.3
Wii Sports Resort,2009.0,Sports,Nintendo,32.77,80.0,8
Pokemon Red/Pokemon Blue,1996.0,Role-Playing,Nintendo,31.37,,
Tetris,1989.0,Puzzle,Nintendo,30.26,,
New Super Mario Bros.,2006.0,Platform,Nintendo,29.8,89.0,8.5
Wii Play,2006.0,Misc,Nintendo,28.92,58.0,6.6
New Super Mario Bros. Wii,2009.0,Platform,Nintendo,28.32,87.0,8.4
Duck Hunt,1984.0,Shooter,Nintendo,28.31,,
Nintendogs,2005.0,Simulation,Nintendo,24.67,,
Mario Kart DS,2005.0,Racing,Nintendo,23.21,91.0,8.6
Pokemon Gold/Pokemon Silver,1999.0,Role-Playing,Nintendo,23.1,,
Wii Fit,2007.0,Sports,Nintendo,22.7,80.0,7.7
Kinect Adventures!,2010.0,Misc,Microsoft Game Studios,21.81,61.0,6.3
Wii Fit Plus,2009.0,Sports,Nintendo,21.79,80.0,7.4
Grand Theft Auto V,2013.0,Action,Take-Two Interactive,21.04,97.0,8.2
Grand Theft Auto: San Andreas,2004.0,Action,Take-Two Interactive,20.81,95.0,9
Super Mario World,1990.0,Platform,Nintendo,20.61,,
Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,Nintendo,20.15,77.0,7.9
Pokemon Diamond/Pokemon Pearl,2006.0,Role-Playing,Nintendo,18.25,,
Super Mario Land,1989.0,Platform,Nintendo,18.14,,
Super Mario Bros. 3,1988.0,Platform,Nintendo,17.28,,
Grand Theft Auto V,2013.0,Action,Take-Two Interactive,16.27,97.0,8.1
Grand Theft Auto: Vice City,2002.0,Action,Take-Two Interactive,16.15,95.0,8.7
Pokemon Ruby/Pokemon Sapphire,2002.0,Role-Playing,Nintendo,15.85,,
Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,Nintendo,15.29,77.0,7.1
Pokemon Black/Pokemon White,2010.0,Role-Playing,Nintendo,15.14,,
Gran Turismo 3: A-Spec,2001.0,Racing,Sony Computer Entertainment,14.98,95.0,8.4
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,14.73,88.0,3.4
Pokémon Yellow: Special Pikachu Edition,1998.0,Role-Playing,Nintendo,14.64,,
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,14.63,,
Call of Duty: Black Ops,2010.0,Shooter,Activision,14.61,87.0,6.3
Pokemon X/Pokemon Y,2013.0,Role-Playing,Nintendo,14.6,,
Call of Duty: Black Ops II,2012.0,Shooter,Activision,13.79,83.0,5.3
Call of Duty: Black Ops II,2012.0,Shooter,Activision,13.67,83.0,4.8
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,13.47,94.0,6.3
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,13.32,88.0,3.2
Grand Theft Auto III,2001.0,Action,Take-Two Interactive,13.1,97.0,8.5
Super Smash Bros. Brawl,2008.0,Fighting,Nintendo,12.84,93.0,8.9
Mario Kart 7,2011.0,Racing,Nintendo,12.66,85.0,8.2
Call of Duty: Black Ops,2010.0,Shooter,Activision,12.63,88.0,6.4
Grand Theft Auto V,2014.0,Action,Take-Two Interactive,12.61,97.0,8.3
Animal Crossing: Wild World,2005.0,Simulation,Nintendo,12.13,86.0,8.7
Halo 3,2007.0,Shooter,Microsoft Game Studios,12.12,94.0,7.8
Super Mario 64,1996.0,Platform,Nintendo,11.89,,
Pokemon HeartGold/Pokemon SoulSilver,2009.0,Action,Nintendo,11.77,,
