Name,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,coded
Wii Sports,2006.0,Sports,Nintendo,82.53,76.0,8.0,False
Mario Kart Wii,2008.0,Racing,Nintendo,35.52,82.0,8.3,False
Wii Sports Resort,2009.0,Sports,Nintendo,32.77,80.0,8.0,False
New Super Mario Bros.,2006.0,Platform,Nintendo,29.8,89.0,8.5,False
Wii Play,2006.0,Misc,Nintendo,28.92,58.0,6.6,False
New Super Mario Bros. Wii,2009.0,Platform,Nintendo,28.32,87.0,8.4,False
Mario Kart DS,2005.0,Racing,Nintendo,23.21,91.0,8.6,False
Wii Fit,2007.0,Sports,Nintendo,22.7,80.0,7.7,False
Kinect Adventures!,2010.0,Misc,Microsoft Game Studios,21.81,61.0,6.3,False
Wii Fit Plus,2009.0,Sports,Nintendo,21.79,80.0,7.4,False
Grand Theft Auto V,2013.0,Action,Take-Two Interactive,21.04,97.0,8.2,False
Grand Theft Auto: San Andreas,2004.0,Action,Take-Two Interactive,20.81,95.0,9.0,False
Brain Age: Train Your Brain in Minutes a Day,2005.0,Misc,Nintendo,20.15,77.0,7.9,False
Grand Theft Auto V,2013.0,Action,Take-Two Interactive,16.27,97.0,8.1,False
Grand Theft Auto: Vice City,2002.0,Action,Take-Two Interactive,16.15,95.0,8.7,False
Brain Age 2: More Training in Minutes a Day,2005.0,Puzzle,Nintendo,15.29,77.0,7.1,False
Gran Turismo 3: A-Spec,2001.0,Racing,Sony Computer Entertainment,14.98,95.0,8.4,False
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,14.73,88.0,3.4,False
Call of Duty: Black Ops,2010.0,Shooter,Activision,14.61,87.0,6.3,False
Call of Duty: Black Ops II,2012.0,Shooter,Activision,13.79,83.0,5.3,False
Call of Duty: Black Ops II,2012.0,Shooter,Activision,13.67,83.0,4.8,False
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,13.47,94.0,6.3,False
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,13.32,88.0,3.2,False
Grand Theft Auto III,2001.0,Action,Take-Two Interactive,13.1,97.0,8.5,False
Super Smash Bros. Brawl,2008.0,Fighting,Nintendo,12.84,93.0,8.9,False
Mario Kart 7,2011.0,Racing,Nintendo,12.66,85.0,8.2,False
Call of Duty: Black Ops,2010.0,Shooter,Activision,12.63,88.0,6.4,False
Grand Theft Auto V,2014.0,Action,Take-Two Interactive,12.61,97.0,8.3,False
Animal Crossing: Wild World,2005.0,Simulation,Nintendo,12.13,86.0,8.7,False
Halo 3,2007.0,Shooter,Microsoft Game Studios,12.12,94.0,7.8,False
Gran Turismo 4,2004.0,Racing,Sony Computer Entertainment,11.66,89.0,8.5,False
Super Mario Galaxy,2007.0,Platform,Nintendo,11.35,97.0,8.9,False
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,11.01,98.0,7.9,False
Gran Turismo,1997.0,Racing,Sony Computer Entertainment,10.95,96.0,8.7,False
Super Mario 3D Land,2011.0,Platform,Nintendo,10.81,90.0,8.4,False
Gran Turismo 5,2010.0,Racing,Sony Computer Entertainment,10.7,84.0,7.5,False
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,10.6,94.0,6.3,False
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,10.5,98.0,7.5,False
