Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Year
32,1,Bachelor's Degree,Software Engineer,5,90000,UK,True,2016
28,0,Master's Degree,Data Analyst,3,65000,USA,False,2015
45,1,PhD,Senior Manager,15,150000,Canada,True,2017
36,0,Bachelor's Degree,Sales Associate,7,60000,USA,False,2016
52,1,Master's Degree,Director,20,200000,USA,False,2018
29,1,Bachelor's Degree,Marketing Analyst,2,55000,USA,False,2015
42,0,Master's Degree,Product Manager,12,120000,USA,False,2017
31,1,Bachelor's Degree,Sales Manager,4,80000,China,False,2015
26,0,Bachelor's Degree,Marketing Coordinator,1,45000,China,False,2015
38,1,PhD,Senior Scientist,10,110000,Australia,False,2017
29,1,Master's Degree,Software Developer,3,75000,UK,False,2015
48,0,Bachelor's Degree,HR Manager,18,140000,UK,False,2017
35,1,Bachelor's Degree,Financial Analyst,6,65000,China,False,2016
40,0,Master's Degree,Project Manager,14,130000,USA,False,2017
27,1,Bachelor's Degree,Customer Service Rep,2,40000,Canada,False,2015
44,1,Bachelor's Degree,Operations Manager,16,125000,China,False,2017
33,0,Master's Degree,Marketing Manager,7,90000,USA,False,2016
39,1,PhD,Senior Engineer,12,115000,UK,False,2017
25,0,Bachelor's Degree,Data Entry Clerk,0,35000,UK,False,2015
51,1,Bachelor's Degree,Sales Director,22,180000,Australia,False,2018
34,0,Master's Degree,Business Analyst,5,80000,China,False,2016
47,1,Master's Degree,VP of Operations,19,190000,UK,True,2017
30,1,Bachelor's Degree,IT Support,2,50000,UK,False,2015
36,0,Bachelor's Degree,Recruiter,9,60000,China,True,2016
41,1,Master's Degree,Financial Manager,13,140000,USA,False,2017
28,0,Bachelor's Degree,Social Media Specialist,3,45000,Canada,True,2015
37,0,Master's Degree,Software Manager,11,110000,Australia,False,2017
24,1,Bachelor's Degree,Junior Developer,1,40000,Australia,False,2015
43,0,PhD,Senior Consultant,15,140000,Canada,False,2017
33,1,Master's Degree,Product Designer,6,90000,China,False,2016
50,1,Bachelor's Degree,CEO,25,250000,Canada,False,2018
31,0,Bachelor's Degree,Accountant,4,55000,UK,True,2015
29,1,Master's Degree,Data Scientist,3,75000,USA,False,2015
39,0,Bachelor's Degree,Marketing Specialist,10,65000,Canada,True,2017
46,1,PhD,Senior Manager,20,170000,USA,False,2018
27,1,Bachelor's Degree,Technical Writer,2,45000,Australia,False,2015
35,0,Bachelor's Degree,HR Generalist,7,60000,UK,True,2016
42,1,Master's Degree,Project Engineer,14,115000,China,True,2017
26,0,Bachelor's Degree,Customer Success Rep,1,40000,Canada,False,2015
49,1,Bachelor's Degree,Sales Executive,21,160000,China,True,2018
34,0,Master's Degree,UX Designer,5,80000,UK,False,2016
48,1,Master's Degree,Operations Director,18,190000,Canada,False,2017
30,1,Bachelor's Degree,Network Engineer,3,60000,China,False,2015
36,0,Bachelor's Degree,Administrative Assistant,8,45000,UK,False,2016
41,1,Master's Degree,Strategy Consultant,13,130000,UK,False,2017
28,0,Bachelor's Degree,Copywriter,2,40000,USA,True,2015
32,1,Bachelor's Degree,Account Manager,5,75000,Australia,False,2016
45,0,Master's Degree,Director of Marketing,16,180000,UK,False,2017
38,1,PhD,Senior Scientist,11,120000,Australia,False,2017
25,1,Bachelor's Degree,Help Desk Analyst,0,35000,USA,False,2015
51,0,Bachelor's Degree,Customer Service Manager,22,130000,China,False,2018
33,1,Master's Degree,Business Intelligence Analyst,7,85000,Australia,False,2016
40,0,Bachelor's Degree,Event Coordinator,12,60000,China,True,2017
47,1,Master's Degree,VP of Finance,19,200000,Australia,False,2017
29,0,Bachelor's Degree,Graphic Designer,3,50000,Canada,False,2015
36,1,Bachelor's Degree,Sales Manager,9,95000,China,False,2016
27,0,Master's Degree,UX Researcher,2,65000,Canada,True,2015
43,1,PhD,Senior Engineer,17,140000,USA,False,2017
30,0,Bachelor's Degree,Social Media Manager,4,55000,Canada,True,2015
35,1,Master's Degree,Product Manager,7,105000,Canada,False,2016
51,0,Master's Degree,Director of Operations,23,170000,USA,False,2018
29,1,Bachelor's Degree,Marketing Analyst,3,50000,China,False,2015
40,0,Bachelor's Degree,HR Manager,12,80000,China,False,2017
47,1,PhD,Senior Data Scientist,21,180000,China,True,2018
26,1,Bachelor's Degree,Junior Accountant,1,35000,Australia,False,2015
38,0,Master's Degree,Digital Marketing Manager,10,90000,China,False,2017
46,1,Bachelor's Degree,IT Manager,19,120000,Australia,False,2017
31,0,Bachelor's Degree,Customer Service Representative,5,45000,Canada,False,2016
34,1,Master's Degree,Business Development Manager,8,90000,Canada,False,2016
49,0,Master's Degree,Senior Financial Analyst,18,150000,Canada,True,2017
33,1,Bachelor's Degree,Web Developer,6,65000,USA,False,2016
39,0,Bachelor's Degree,Recruiter,11,70000,USA,False,2017
45,1,PhD,Research Director,16,190000,UK,False,2017
