id,k
16205162,20
223077,20
53103301,40
44503210,40
28566777,20
2205033,10
20677499,20
1518526,20
2832046,20
1361767,40
29672643,40
94748616,40
209295,20
44702949,40
52305516,40
14442413,40
2630230,20
1424661,40
53302246,40
48726885,40
44703110,40
24161926,20
13209280,20
1002708,10
55790895,40
42905434,40
1774425,40
2801588,40
3213900,20
94707693,20
13318276,40
32013639,20
103861,20
9208763,20
46691731,40
44707118,40
30979374,40
22746129,40
319945,20
1300504,20
29937523,40
41821327,40
14964880,40
1049623,20
415278,20
22250352,20
1321064,40
3433943,40
4826523,20
91126924,40
12204293,20
1270095,20
12329746,40
1351842,40
65206760,40
4657667,20
35854650,40
3031330,40
24148806,20
2309297,40
53302716,40
823449,20
39927717,20
46643591,20
2670054,40
22570241,20
24518115,20
13314327,20
14938332,20
4328124,40
7004400,40
24679097,20
20664036,20
80473458,40
371220,40
54501186,40
32001061,20
24684023,40
3279316,40
6300499,20
33401373,40
53303895,40
952508,20
12604020,40
5056403,20
41820134,40
24691658,20
44730470,40
1270390,20
323152,20
24504947,40
53303660,40
1785206,20
2886320,20
36703001,40
17000955,40
2008343,20
14912325,20
32056451,20
42218519,40
9971858,40
4625587,20
34342272,40
34175377,40
1334174,20
2821125,10
12432652,40
1787950,40
13012541,20
24250775,10
6627340,40
3001440,20
52300421,40
12914851,20
1769537,20
4212282,20
2121557,20
2617854,40
4317017,40
13325922,40
13473840,40
12868337,40
13476394,40
645435,20
53509235,40
14402513,20
645249,20
53502755,20
4810139,20
14429195,40
34342675,40
2211629,20
45196907,40
54192668,20
53202338,40
29950449,40
1030612,20
81456913,40
52902317,40
14532840,20
698091,20
1060600,20
3910083,20
945170,40
3112594,40
13705474,20
3259307,40
29624754,40
28591631,40
1050540,20
25181815,40
1670867,40
837270,20
1307142,20
33406170,40
6014496,40
5530580,40
1784986,20
25006355,20
25624318,40
2826500,20
4657527,20
14334402,40
48747831,40
10808361,20
34173633,40
65105629,40
6616895,40
4616960,20
10240365,20
14339501,40
1747347,20
94766789,40
23909153,40
13219685,40
203777,20
1134450,20
30981298,40
14004526,20
20030096,40
42559669,20
36758841,40
34472959,40
13324420,40
54748330,40
184020,40
42902740,40
25925326,40
17005264,40
30980364,40
25915525,40
53102058,40
2518376,40
9238330,40
80450024,40
743704,20
53301014,40
3272052,40
53108168,40
34172807,40
52502554,40
25980378,40
12362530,40
5041350,20
36785164,40
2820650,20
760374,20
39961508,40
1797948,40
35829192,40
81463006,40
1004549,40
3414221,20
52300271,40
34451196,40
1072374,20
2841814,40
44704075,40
42907937,40
24667951,40
80834205,40
747971,20
3453340,40
3539679,40
3406890,20
54792410,20
55750575,40
30912130,40
818844,20
13423797,40
52300089,40
13011812,40
20629494,20
13415140,40
8719187,20
8102937,20
7131089,40
20010249,20
10107967,40
3020738,20
48720682,40
35828552,40
55100640,20
2659158,40
65308575,40
42903289,40
46624023,20
12987263,20
24101982,20
3909425,20
13912062,40
1113186,20
42236517,40
20031270,20
34390006,40
1304542,20
91143101,40
5401321,40
23785667,40
858021,20
79317634,40
720186,20
1188577,20
6435165,40
54721202,40
2650355,20
14408139,20
65105029,40
8205957,40
28551788,20
22713182,40
9225617,40
55103103,40
39905586,40
14006715,40
6327354,20
29654866,40
