name,former_fed
"Pham, Hieu Tuong",VIE
"Padron Jimenez, Andres Alejandro",ESP
"Makhynia, Kostiantyn",UKR
"Ajeti, Remzi",SRB
"Borodich, Miroslav",CYP
"Khrapko, Marharyta",BLR
"Meyer, Gordon",RSA
"Marshall, Michael",DEN
"Klukin, Kirill",FID
"Feseniuk, Maryna",POL
"Dimitrijevic, Aleksandra",SRB
"Brown, Kevin M",AUS
"Carpenter, Paul A",ENG
"Peramunetilleke, Savin Kavindu",HKG
"Filonov, Viktor",UKR
"Shnaider, David",RUS
"Visa Jordana, Joel",ESP
"Lomasov, Semyon",RUS
"Foerster-Yialamas, Lucas",USA
"Antonov, Alexander",RUS
"Roy, Aanya",IND
"Omar, Mawloud",ALG
"Eynula, Roza",USA
"Monell Camarasa, David",AND
"De Coninck, Philippe",FRA
"Valitov, Ilshat",RUS
"Villamayor, Buenaventura",PHI
"White, Stuart A",ENG
"Estrin, Boris",GER
"Nasir, Farouq",NGR
"Udod, Oleksandra",GER
Vedant Nayudu,IND
"Demchenko, Anton",RUS
"Blagoveshchenskiy, Roman",RUS
"El Zein, Bassam",LBN
"Pettersson, Alexander",MLT
"Dudin, Gleb",RUS
"Strugnell, Carl",FRA
"Mayans Calvo, Mariano",ESP
"Romanov, Evgeny",RUS
"Bashirov, Kemal",UKR
"Nguyen, Gia Huy (Tony)",VIE
"Chebotarev, Anton A",RUS
"Barker, Shawn",USA
"Bangiev, Katharina",GER
"Jaferian, Koosha",IRI
"Komar, Valerie",UKR
"Goel, Vayum",IND
"Dela Torre, Marife",PHI
"Shevchenko, Kirill",UKR
"Mihaila, Radu Stefan",ITA
Dhwani Gupta,IND
"Meshkova, Valeriia",RUS
"Attia, Ashraf",EGY
"Engel, Norbert",FRA
"Blanco Fernandez, Lino Orlando",CUB
Bhattacharjee Krish,IND
"Diaz Hollemaert, Nahuel",ARG
"Novak, Petr",GER
"Bilunov, Denis B.",RUS
"Yasmo, Daniil",UKR
"Anissimova, Mariya",KAZ
"Wiratunga, Ishan",SRI
"Vasyliuk, Volodymyr",UKR
"Hung, Shengchen",USA
"Pearl, Oliver",AUS
"Barantsev, Oleg",RUS
"Horn, Gilles",SUI
"Elier, Ali",GER
"Abramov, Artem",RUS
"Obukhava, Anastasiya",BLR
