Date,Duration,Activity,Topics,AI,Age,Level,Num of Topics
2023-11-01 13:08:03,0.17,Speaking,Architectural Design and Sustainability; Water Conservation Methods; Volunteer Opportunities and Social Change; Science and Its Impact on Society; Science and Its Ethical Considerations; Urbanization and City Life,True,18,Beginner,6
2024-11-09 14:49:30,0.71,Listening,Architectural Heritage and Preservation; Art and Its Role in Society; Urbanization and City Life; Public Transportation; Food and Cuisine,True,57,Advanced,5
2023-10-13 04:05:20,3.03,Speaking,Technology in Education; Historical Context and Modern Relevance; Volunteer Opportunities and Social Change; Tourism and Its Economic and Cultural Importance; Shopping and Consumerism; Science and Its Ethical Considerations,True,56,Beginner,6
2022-03-15 07:41:53,2.21,Speaking,Environmental Conservation; Cultural Heritage; Hobbies and Interests; Religious Practices and Traditions; Water Conservation Strategies; Travel and Tourism; Tourism and Hospitality; Fashion and Its Cultural Significance; Art and Its Therapeutic Value; Science and Its Ethical Considerations; Historical Lessons and Modern Applications; Historical Events and Their Lessons; Language Learning; Agricultural Sustainability and Food Security,True,51,Intermediate,14
2024-05-14 07:34:17,0.46,Listening,Religious Practices and Their Meaning; Volunteer Opportunities and Social Change; Agricultural Practices and Sustainability; Architectural Design and Sustainability; Language Proficiency and Communication; Global Sustainability and Responsibility; Philosophical Perspectives on Life; Religion and Belief Systems; Nature and Its Preservation; Online Shopping,True,23,Advanced,10
2024-11-19 20:35:59,3.6,Listening,Online Shopping; Leadership and Influence; Public Transportation; Healthcare and Medicine; Historical Lessons and Modern Applications; Travel and Cultural Immersion; Entrepreneurial Mindset and Success; Media and Entertainment; Volunteerism and Community Building; Home and Accommodation; Social Media and Networking; Global Sustainability Goals; Agricultural Sustainability and Food Security; Travel and Cultural Understanding; Art and Creativity,True,42,Intermediate,15
2022-10-12 00:43:21,1.65,Listening,Environment and Sustainability,True,17,Beginner,1
2022-11-07 19:12:55,2.87,Listening,Historical Lessons and Modern Applications; Religious Tolerance and Coexistence; Leisure and Free Time; Transportation and Commuting; Entrepreneurial Success Stories; Family and Relationships; Energy and Renewable Resources; Global Warming and Climate Change; Leadership and Influence,True,46,Advanced,9
2024-09-11 12:02:07,3.18,Reading,Language and Cultural Identity; Global Sustainability and Responsibility; Historical Context and Modern Relevance; Tourism and Cultural Appreciation; Fashion and Its Cultural Expression; Leadership and Teamwork; Friends and Social Life; Agricultural Practices and Sustainability; Energy Efficiency Measures; History and Archaeology; Agricultural Sustainability and Food Security; Movies and Cinema; Fashion and Its Environmental Impact; Volunteerism and Its Social Impact,True,43,Beginner,14
2023-02-17 13:55:28,0.06,Listening,Nature and Wildlife; Fashion and Its Cultural Significance; Water Conservation Methods; Online Shopping; Architectural Design and Sustainability; Volunteerism and Community Building; Sports and Physical Activities; Global Sustainability and Responsibility; Volunteer Work and Its Benefits; Science and Technological Advancements; Global Issues and Solutions,False,52,Beginner,11
2023-05-14 14:41:52,2.7,Listening,Work and Career; Entrepreneurial Ventures and Startups; Architectural Innovations and Sustainability; Historical Context and Modern Relevance; Art and Its Role in Society; Future Plans and Goals; Fashion and Its Environmental Consequences; Entrepreneurial Ventures and Their Impact; Volunteering and Community Service; Agricultural Sustainability and Food Production; Music and Performing Arts; Tourism and Its Economic Benefits; Weather and Climate; Language and Its Evolution,True,54,Intermediate,14
2024-01-06 23:58:22,3.17,Speaking,Travel and Cultural Understanding,True,26,Advanced,1
2023-05-28 04:58:16,1.86,Speaking,Movies and Cinema; Urbanization and City Life; Tourism and Cultural Appreciation; Energy Efficiency and Conservation,True,19,Advanced,4
2022-02-20 06:13:45,3.74,Speaking,Philosophy and Critical Thinking; Agricultural Sustainability and Food Security; Fashion and Its Environmental Impact; Architectural Heritage and Preservation; Volunteering and Community Service; Philosophy and Ethics; Fashion and Style,True,59,Beginner,7
2023-07-23 17:41:10,3.4,Reading,Agricultural Sustainability and Food Production; Nature and Environmental Protection; Culture and Traditions; Tourism and Economic Development,True,44,Intermediate,4
2023-05-08 21:12:31,3.02,Reading,Entrepreneurship and Business; Language Acquisition and Multilingualism; Philosophy and Ethics; Environment and Sustainability; Nature and Its Preservation; Science and Its Contributions to Society,True,43,Intermediate,6
2024-02-12 22:55:24,3.0,Listening,Energy Conservation and Renewable Energy; Travel and Personal Growth; Politics and Government; Urbanization and City Life; Leadership and Its Qualities; Friends and Social Life; Global Sustainability Goals; Fashion and Style; Philosophical Inquiry and Reflection; Nature and Its Importance to Humanity; Science and Technological Advancements; Architectural Heritage and Preservation; Nature and Wildlife; Global Sustainability and Responsibility; Religious Practices and Their Meaning,True,43,Intermediate,15
2023-04-19 23:22:36,0.14,Speaking,Environmental Conservation; Art and Its Therapeutic Value; Philosophical Perspectives on Life; History and Archaeology,True,39,Beginner,4
2023-07-31 00:05:58,3.03,Reading,Fashion and Fashion Industry; Leadership and Decision Making; Music and Performing Arts,True,23,Advanced,3
2023-08-31 08:10:36,1.19,Speaking,Philosophical Thoughts on Life; Rural Life and Agriculture; Personal Beliefs and Values; Leadership Skills and Development; Travel and Adventure; Energy Transition and Renewables; Environment and Sustainability; Tourism and Its Cultural Significance; Language and Its Evolution; Social Issues and Community; Language and Cultural Identity; Nature and Its Healing Properties; Hobbies and Interests; Travel and Its Personal Growth Aspects,True,24,Beginner,14
2024-09-16 10:59:00,2.38,Speaking,Cultural Heritage; Language and Its Cultural Significance,True,58,Beginner,2
