LessonDate,Duration,Activity,Topics,AI,StudentAge,Level,Num of Topics
2022-12-10 23:39:54,3.41,Writing,Art and Its Role in Society; Public Transportation; Volunteer Work and Its Rewards; Language Learning; Leadership Skills and Development; Energy Transition and Renewables; Entrepreneurship and Business; Music and Performing Arts,False,56,Advanced,8
2023-04-11 14:10:56,1.15,Reading,Science and Its Impact on Society; Food and Cuisine; Energy Efficiency Measures; Technology in Education; Science and Its Contributions to Society; Volunteer Opportunities and Social Change; Agricultural Innovation and Technology; Social Media and Networking; Language and Its Role in Communication,False,12,Beginner,9
2022-04-19 21:12:49,2.46,Listening,Technology in Education; Tourism and Its Economic and Cultural Importance; Leadership and Teamwork; Media and Entertainment; Art and Its Therapeutic Benefits; Language and Its Role in Communication; Science and Its Contributions to Society; Energy Conservation and Renewable Energy,True,33,Advanced,8
2023-04-08 06:18:00,2.28,Writing,History and Historical Events; Global Sustainability Efforts; Tourism and Cultural Exchange; Environment and Sustainability; Historical Context and Modern Relevance; Friends and Social Life; Entrepreneurship and Business,True,22,Beginner,7
2024-12-19 00:42:50,0.95,Writing,Daily Routine and Habits; Religious Practices and Their Meaning; Architectural Innovations and Sustainability; Tourism and Hospitality; Tourism and Economic Development; Language and Its Role in Communication; Agricultural Practices and Sustainability; Culture and Traditions; Agricultural Innovation and Technology; Historical Events and Their Impact; Social Issues and Community; Fashion and Its Cultural Significance; Leadership and Its Responsibilities; Philosophical Questions and Debates; Technology and Gadgets,False,33,Beginner,15
2023-03-19 14:55:58,2.91,Speaking,Health and Wellness; Travel and Its Educational Value; Global Sustainability and Responsibility; Philosophical Thoughts on Life; Social Issues and Community; Tourism and Economic Development; Globalization and International Relations; Nature and Its Healing Properties; Fashion and Its Cultural Expression,True,50,Beginner,9
2022-07-05 17:20:45,1.4,Listening,Childhood Memories; Language and Communication; Technology and Gadgets; Historical Context and Modern Relevance; History and Historical Events; Water Management and Conservation; Language and Its Cultural Significance; Art and Its Therapeutic Benefits; Philosophical Perspectives on Life; Architectural Design and Sustainability; Fashion and Style; Architectural Innovations and Sustainability,True,13,Beginner,12
2024-07-29 04:22:55,0.4,Writing,Agriculture and Food Production; Language and Its Evolution; Travel and Cultural Immersion; Energy Efficiency Measures,True,28,Beginner,4
2022-05-01 05:43:33,3.47,Speaking,Language and Its Cultural Significance; Environment and Sustainability; Water Conservation Strategies; Agricultural Innovation and Technology; Art and Culture; Shopping and Consumerism; Agricultural Sustainability and Food Production; Energy Conservation and Renewable Energy; Family and Relationships; Art and Creative Expression; Art and Its Therapeutic Benefits; Entrepreneurship and Innovation,True,43,Beginner,12
2024-07-11 13:35:53,3.69,Listening,Health and Wellness; Historical Events and Their Impact; Historical Events and Their Lessons; Science and Scientific Discoveries; Travel and Cultural Understanding,False,48,Advanced,5
2023-12-12 01:16:40,3.71,Listening,Agricultural Practices and Sustainability; Architecture and Urban Planning; Art and Its Therapeutic Benefits; Culture and Traditions; Energy Conservation and Renewable Energy; Agricultural Sustainability and Food Security; Art and Culture; Technology and Gadgets,False,42,Intermediate,8
2024-12-12 10:41:11,2.73,Speaking,Media and Entertainment; History and Historical Events,False,46,Advanced,2
2024-05-22 01:02:15,3.73,Reading,Social Media and Networking; Leadership and Its Responsibilities; Volunteer Work and Its Benefits; Tourism and Its Cultural Significance,False,26,Beginner,4
2023-06-15 00:37:15,2.76,Writing,Weather and Climate; Health and Wellness; Leadership Skills and Development; Childhood Memories; Work and Career; Entrepreneurship and Innovation; Water Conservation; History and Historical Events; Books and Reading; Fashion and Its Environmental Impact; Global Sustainability and Responsibility; Culture and Traditions; Language and Its Evolution,True,45,Advanced,13
