Index,StudentID,Score
0,1,54.71
1,2,65.28
2,3,51.59
3,4,53.8
4,5,54.87
5,6,55.28
6,7,53.27
7,8,45.94
8,8,40.84
9,9,46.48
10,10,42.58
11,11,27.82
12,12,64.86
13,10,45.57
14,13,62.24
15,14,69.52
16,15,46.49
17,4,56.6
18,16,46.77
19,17,60.68
20,18,47.06
21,19,44.67
22,20,45.95
23,21,44.39
24,4,56.1
25,7,52.89
26,22,58.58
27,23,61.27
28,24,50.5
29,25,44.67
30,26,57.67
31,25,70.51
32,27,54.19
33,28,40.53
34,29,44.19
35,2,35.98
36,30,63.36
37,31,48.67
38,6,66.99
39,32,50.0
40,33,58.45
41,34,48.76
42,16,56.0
43,35,59.98
44,36,49.82
45,37,46.48
46,35,62.45
47,38,39.58
48,28,50.95
49,28,65.93
50,17,46.32
51,39,41.26
52,40,49.72
53,7,43.23
54,10,33.1
55,41,50.81
56,33,67.64
57,23,20.42
58,31,31.47
59,42,60.91
60,9,49.91
61,43,47.41
62,44,46.09
63,27,59.46
64,45,46.2
65,46,56.73
66,47,49.11
67,27,46.22
68,28,29.23
69,48,51.55
70,24,78.81
71,49,57.74
72,50,38.8
73,39,65.23
74,29,53.24
75,51,49.76
76,52,37.5
77,53,50.59
78,8,47.51
79,11,33.6
80,36,36.05
81,54,45.88
82,1,61.46
83,55,40.24
84,42,37.56
85,47,49.58
86,56,28.32
87,28,59.04
88,41,81.55
89,11,44.31
90,57,52.55
91,35,43.38
92,56,56.9
93,58,61.39
94,59,56.39
95,6,48.21
96,6,56.41
97,60,47.28
98,6,46.19
99,61,36.81
100,62,42.11
101,58,34.21
102,63,64.96
103,64,39.46
104,65,61.11
105,28,58.44
106,66,50.07
107,60,31.87
108,60,52.72
109,53,54.03
110,67,55.95
111,68,46.61
112,16,52.21
113,69,44.0
114,63,45.94
115,23,45.6
116,20,54.42
117,70,43.76
118,25,43.78
119,54,39.46
120,71,70.27
121,72,39.27
122,3,45.15
123,65,59.2
124,68,64.11
125,33,43.33
126,73,72.1
127,52,52.19
128,3,48.62
129,52,49.86
130,16,47.92
131,74,51.53
132,46,52.4
133,19,54.58
134,3,43.44
135,64,52.41
136,75,55.07
137,31,82.02
138,34,46.16
139,76,55.75
140,52,50.84
141,77,59.54
142,51,37.85
143,16,61.2
144,1,68.17
145,17,51.07
146,73,48.49
147,78,52.74
148,18,61.46
149,48,53.2
150,43,48.12
151,58,57.9
152,79,62.48
153,27,41.96
154,80,49.38
155,74,57.21
156,21,36.23
157,30,66.4
158,69,70.93
159,47,58.62
160,81,62.37
161,27,55.61
162,2,60.02
