ride_id,user_age,ride_distance_km,ride_duration_min,city_zone,weekday,membership,completed,avg_speed_kmh,satisfaction_rating
R1000,29.260878581279478,2.3339469411240272,7.644179760686879,Industrial,2,Regular,1,11.258506454257901,8.0
R1001,35.874284574545655,3.8293789510843377,13.242093560720264,Suburb,4,Premium,1,13.271299071772098,2.0
R1002,18.48894379889613,2.783787744480254,11.86843322410563,Downtown,5,Premium,1,7.0918299812363434,2.0
R1003,24.692623800454452,5.210974912134822,14.805764466565376,Downtown,4,Regular,1,5.879222703450733,6.0
R1004,29.194175293655988,2.46458185672218,14.0495075822385,Park,3,Premium,1,17.003334383696572,1.0
R1005,47.17589258628497,3.168196804791007,0.9801354142132617,Industrial,1,Regular,1,13.73962060414702,7.0
R1006,41.14966469147895,4.760660221035556,23.20315203998799,Suburb,6,Premium,0,8.655614120330823,10.0
R1007,28.341030943505128,2.136521497129569,12.117535606972663,Park,5,Regular,0,12.17842392139695,8.0
R1008,36.10869828859016,4.1771122525825,15.074653917426,Downtown,0,Premium,1,16.419544693177844,4.0
R1009,31.640429202072564,2.0117347677436843,13.473091299848758,Downtown,5,Regular,1,8.935889034259564,4.0
R1010,21.668030607636236,3.090619740258055,12.415782375429778,Suburb,3,Regular,1,11.341214682971582,4.0
R1011,23.375391285054224,2.9205524681633745,20.49094926050659,Park,3,Regular,1,18.419272080147756,8.0
R1012,21.569634519017715,2.8293205105716925,8.259848972766417,Park,1,Regular,1,14.929760163352434,1.0
R1013,29.289930682387535,4.50222975796309,10.434407071328433,Industrial,5,Regular,0,11.770534703606566,7.0
R1014,31.2655468369704,4.337598329332813,18.218205830730902,Industrial,4,Regular,1,9.38657851598224,6.0
R1015,15.68541562198489,3.7187318409099626,5.429144783810319,Suburb,0,Premium,1,13.180448866777677,8.0
R1016,38.50785422272223,2.9179903900679793,13.947790157173635,Park,6,Regular,1,15.351776212777471,6.0
R1017,30.296960040706924,1.3319549619029605,14.293323560515956,Park,2,Regular,1,12.020834007066556,8.0
R1018,28.689936556696747,3.6973477276462803,16.995203791388096,Park,1,Regular,1,16.365145705530214,1.0
R1019,27.374339447657526,2.972764793174766,20.720614829481292,Downtown,1,Premium,1,12.23787138249419,9.0
R1020,42.71181202800045,2.2435950129109883,11.143005376540952,Park,2,Regular,0,13.889859262656337,1.0
R1021,28.48973586881989,3.2378232024214975,17.38377495743264,Suburb,6,Regular,1,17.986972307623077,7.0
R1022,28.54621623424815,3.2217572710556204,18.846916223117567,Downtown,3,Regular,0,12.704072790749203,9.0
R1023,35.7432016992853,2.8359522314100563,7.249807762814933,Industrial,4,Regular,1,11.521617077568806,4.0
R1024,29.994341993238475,3.437840015823655,15.61940069793744,Downtown,3,Regular,0,16.478365935031476,7.0
R1025,36.25733573019637,5.346013588897243,11.337367259761466,Industrial,0,Regular,0,11.286091733996374,3.0
R1026,30.695928969369387,2.669465768829123,23.370649020736295,Downtown,1,Regular,1,12.069159224515655,7.0
R1027,30.53004455417801,4.1157167006881075,13.363023252692255,Downtown,5,Premium,1,5.6296424837589285,2.0
R1028,39.60451953245854,5.314725895278851,7.225764941942647,Industrial,2,Regular,1,7.6295889676907835,1.0
R1029,29.506677509421753,3.4725086328081245,18.08222520365554,Park,1,Premium,0,13.21762012109098,2.0
R1030,22.79274923564636,,5.945214452725974,Suburb,3,Premium,1,13.127333391311701,2.0
R1031,19.926015647981377,4.085946962403589,18.725357674074715,Suburb,5,Regular,0,9.227874331455835,2.0
R1032,30.453062918915048,3.1012323509776207,17.48880464208654,Industrial,0,Regular,1,11.254216620882085,7.0
R1033,22.27025107275676,3.417403496581303,17.730696203664365,Suburb,0,Regular,1,16.124800691925472,4.0
R1034,35.98844438910113,1.6741113492284618,8.726732181293027,Downtown,6,Regular,1,8.981623739252452,8.0
R1035,32.22549111079208,2.930757317307671,14.467944211118942,Suburb,5,Regular,1,15.622004109707827,4.0
R1036,27.51395079163303,4.437212998552518,5.72422946821918,Downtown,6,Regular,1,10.860093348789983,2.0
R1037,24.76876010618707,3.090289171815696,15.64584876253049,Suburb,5,Premium,1,13.471710797616304,9.0
R1038,29.416416135773552,4.990909367722923,15.591500490596596,Industrial,0,Regular,1,15.369307361816139,1.0
R1039,34.73550027417825,3.0956536459910824,13.670957350763128,Park,4,Regular,0,10.903747099794654,10.0
R1040,36.86083179411154,3.8330479499579138,16.014012136892088,Downtown,3,Premium,0,14.015482307552627,9.0
R1041,20.446572753449196,2.2287356353961534,16.15636373178518,Downtown,6,Premium,1,16.205739042628505,7.0
R1042,45.21232585975454,2.8284938012313003,25.7936950014999,Industrial,2,Regular,1,18.76851848071061,9.0
R1043,24.83852760191205,2.6470829992816913,13.420242475182663,Park,0,Regular,0,12.97544313640605,5.0
R1044,20.542426540210883,3.103621707951377,23.365063813941966,Downtown,0,Regular,1,16.965793245492314,8.0
R1045,42.41764061654577,3.70196150367908,19.514699613744753,Downtown,5,Premium,1,10.240854404919796,6.0
R1046,39.73057227978322,2.4697805453577595,14.784947049239781,Park,2,Regular,0,11.925348535924485,2.0
R1047,37.490697443792776,1.8469020161576568,16.507437477689177,Industrial,5,Premium,1,17.270590105585057,10.0
R1048,24.595595927847327,3.060629264912072,14.025956457771496,Downtown,6,Premium,1,17.18692673914243,7.0
R1049,38.5545623732176,3.7097780298484313,18.89089377035955,Park,1,Regular,1,11.88597186058809,9.0
R1050,29.1220638555065,4.548319620780779,16.069661057699193,Park,0,Premium,1,15.900869413091971,6.0
R1051,18.854114166914783,1.8131161515193464,11.740070651242371,Downtown,3,Premium,0,13.163440261284036,6.0
R1052,24.627996244070918,1.1566800986079906,25.538041251029675,Industrial,5,Regular,1,12.825082422499891,1.0
R1053,19.903400876593512,2.488610281743543,9.490433720315545,Suburb,2,Regular,1,7.818898142351517,9.0
R1054,37.21711128390312,4.342878963206269,17.62146915669444,Industrial,5,Premium,1,10.422789446145313,9.0
R1055,39.388911744805114,1.83984537622552,14.668749845588863,Suburb,3,Regular,1,13.747751049132031,7.0
R1056,21.68567086346551,2.461151090547916,14.966866583078755,Suburb,0,Premium,0,11.84335210036292,3.0
R1057,28.748577564948175,4.600658223977736,25.324372357721757,Industrial,3,Premium,1,16.15543931271066,4.0
R1058,33.1567703583744,2.7170798312744058,18.379990623323327,Suburb,1,Regular,1,12.395904843930929,2.0
R1059,20.669804429677818,2.9712952351302393,15.542273431607978,Industrial,1,Regular,1,15.406761464040873,2.0
R1060,37.49650292219581,3.2052159194123777,13.962292060915884,Park,2,Premium,1,16.27448199889672,3.0
R1061,21.963069271034456,3.780800892030514,13.53523356344831,Suburb,3,Premium,1,8.880245940723496,6.0
R1062,18.873847122253522,2.852717793683851,14.046992864287194,Downtown,2,Premium,1,8.52656526382106,5.0
R1063,23.229839832140463,1.164495277477895,18.906363314041364,Suburb,6,Premium,1,6.679421887839565,3.0
R1064,27.02333858691247,2.8845432025977966,18.72179759550461,Industrial,3,Regular,1,9.870798127160624,7.0
R1065,23.12393972845724,3.359891050016394,21.18270118399238,Industrial,4,Premium,1,13.710051873107787,8.0
R1066,39.64798960872618,0.16078121409643398,10.42602212109486,Suburb,1,Premium,0,8.573379564412903,5.0
R1067,30.015112647929524,4.263309789835465,8.196986228591634,Downtown,5,Regular,1,11.495977896998092,7.0
R1068,18.57817372031638,2.792040637778487,7.8682505612515286,Suburb,6,Premium,1,12.995719395578757,3.0
R1069,70.0,1.3415558942808816,8.864337182476996,Park,0,Premium,1,16.764197507689758,9.0
R1070,18.525840486888534,2.5378359743431607,15.935550838652341,Park,3,Premium,1,15.77184601370433,2.0
R1071,42.24617995179659,4.743237487599057,11.522397220360546,Park,4,Regular,1,10.177066344193452,8.0
R1072,20.383588872630824,3.7901779461242127,14.55981199019339,Downtown,0,Regular,1,7.0212936506365935,4.0
R1073,26.435912190587125,3.160490928865632,7.7074196954258065,Industrial,3,Regular,1,14.163818613842498,9.0
R1074,31.532217658664237,2.8939881725849785,19.1894564513967,Industrial,6,Regular,1,14.711787121621587,9.0
R1075,23.772934895692526,0.8041737328717109,13.508424599575704,Suburb,1,Premium,0,14.704136304156483,5.0
R1076,22.117300100710665,2.952909512188962,11.818325624302773,Suburb,6,Premium,1,12.206885384576358,8.0
R1077,32.02199810912903,3.9981097720529033,14.101473505254104,Suburb,2,Premium,1,9.920351888007907,1.0
R1078,17.511049961560495,2.142128532427377,15.052374139483634,Park,3,Premium,1,13.766501159340539,1.0
R1079,38.322028233356065,3.5716292994970633,16.793871482427793,Industrial,3,Premium,1,9.963211436442858,7.0
R1080,19.659346292660615,2.222654529813503,15.665231215067996,Industrial,6,Premium,1,8.60675002976737,3.0
R1081,19.956937487256965,3.6023746855279657,15.696815425020926,Downtown,5,Premium,1,13.774212322038016,4.0
R1082,28.841502953817184,1.672927334742161,10.437766934533414,Suburb,6,Regular,1,16.425908656021274,6.0
R1083,12.306646437605544,3.3722091877420044,12.248499121682427,Park,3,Premium,1,13.457302930715718,7.0
R1084,29.856889961393993,1.6423931298537262,14.017297492102026,Suburb,2,Regular,1,9.078267482144918,5.0
R1085,24.162924658262618,1.4337247041579562,9.268426649278496,Downtown,0,Premium,1,14.974310234671009,4.0
R1086,32.66564396746901,2.5248551499709566,8.111191211863954,Downtown,0,Premium,1,12.974454006365793,8.0
R1087,29.132301506599532,2.6942894566472324,10.687133690152658,Industrial,6,Regular,0,12.276197776213145,5.0
R1088,37.19324107551148,3.1109530059467594,7.509709931162104,Park,4,Premium,0,5.839855596927354,1.0
R1089,22.800086542596887,2.031472335568863,17.22792180575317,Industrial,5,Regular,0,9.316787984239568,8.0
R1090,36.367383652411014,2.5233900684723354,11.170275016147228,Downtown,0,Regular,1,13.47892592850862,4.0
R1091,29.98128059988901,2.935729195755975,11.042928331894505,Industrial,6,Regular,0,17.026401999729284,1.0
R1092,25.854597608214497,,13.577070489239368,Park,1,Premium,1,18.513922086102404,8.0
R1093,31.710816282792507,,15.939764295313637,Downtown,5,Regular,1,12.380010477906366,1.0
R1094,23.7901883912425,3.108809867463945,8.363487134383922,Industrial,5,Regular,1,16.50294328486171,4.0
R1095,25.261966381417995,4.475225855616117,20.753574440023677,Park,4,Regular,0,15.153960349964649,3.0
R1096,25.684256531861987,2.923502586239161,13.957247938086024,Suburb,2,Regular,1,11.718009003443209,2.0
R1097,31.422380371296363,5.211925895585532,12.329235411068069,Suburb,6,Premium,1,12.22208579021782,2.0
R1098,29.06177080594358,4.408070819925431,10.467040058311584,Park,4,Regular,0,14.48583319658907,3.0
R1099,12.944559184602841,2.5619260341319343,32.70831690733519,Suburb,2,Regular,1,15.861513306313421,2.0
R1100,41.48349824970529,2.3724385631625826,21.777210986666525,Park,3,Regular,1,11.103206058667368,2.0
R1101,43.81527692666269,2.754590757859298,10.119506369501096,Suburb,6,Premium,1,11.7005514310816,9.0
R1102,24.871515928636242,4.089573358740742,10.136679509240924,Park,6,Regular,1,15.153677978013706,1.0
R1103,36.67304659231108,2.2039074109949515,11.69748529918111,Park,6,Premium,1,12.832815961588286,9.0
R1104,34.44679118197514,3.5929746368359767,15.450501166546209,Suburb,6,Regular,1,13.558585490908923,4.0
R1105,26.57761279652877,,21.19361224307011,Downtown,4,Regular,1,13.708138522570673,5.0
R1106,28.352484557888058,4.327294297558705,19.277078684680603,Downtown,3,Regular,1,9.659106406406472,6.0
R1107,38.55299190220758,2.040530169772206,18.557641053657733,Park,3,Regular,1,13.905517905909244,8.0
R1108,17.127956873013936,2.656736978016448,12.978177524908359,Downtown,6,Regular,1,10.517597603629298,4.0
R1109,36.52838689487977,2.1979408591024416,8.692522770656964,Park,5,Regular,1,10.988984140781422,3.0
R1110,39.9746160233331,4.1368639861856344,12.933728153041802,Suburb,1,Premium,1,8.61387852718714,9.0
R1111,24.879533167665944,5.0904073537844745,21.426866842724053,Suburb,6,Regular,1,9.420880960888937,1.0
R1112,41.773140148086185,3.6785876781490905,19.869863129936228,Park,0,Premium,1,9.824974935962501,6.0
R1113,36.34682116719498,3.891642794728427,7.847258793594819,Industrial,0,Regular,1,13.511331998228878,10.0
R1114,38.7669786887631,2.3298147134730107,20.7660159102263,Downtown,0,Premium,0,15.124170362153585,3.0
R1115,29.2454007904553,4.269914821707918,22.73985154628633,Suburb,6,Regular,1,2.7202409978527307,3.0
R1116,21.71764066742135,2.128184978873611,13.98637356110562,Industrial,0,Premium,1,9.683286999042771,6.0
R1117,26.98844469937658,3.0209185956738382,14.162271241732062,Park,1,Regular,1,4.714746299706611,1.0
R1118,11.91727929646138,2.339176915556283,15.337834729433792,Downtown,4,Premium,1,13.99174277956702,5.0
R1119,23.356580736359675,2.696192524290366,20.024806795994653,Downtown,6,Regular,1,13.440783248270314,4.0
R1120,35.31031597682437,3.5568279566442045,10.19963022758239,Suburb,2,Regular,1,9.337324947051282,7.0
R1121,23.17658954320235,4.381903638224594,11.967098554756312,Suburb,2,Regular,1,14.853116226183598,9.0
R1122,33.03511171313475,1.8745595097267873,17.60599555993617,Park,0,Premium,1,14.956276576113472,2.0
R1123,46.2026939744746,,10.245605081731876,Suburb,5,Premium,0,12.211383086626808,9.0
R1124,25.692447512138035,3.23244004526848,18.927903974321207,Suburb,6,Premium,1,8.012777057828577,3.0
R1125,32.64932494431793,2.9368039944580286,10.753101935042082,Suburb,6,Premium,1,11.076443121977105,10.0
R1126,17.64923541805415,3.31684305624357,27.826757128011888,Industrial,4,Regular,1,16.658549546445904,2.0
R1127,37.5083111965446,2.2903772900974566,14.36200901471622,Industrial,1,Premium,1,11.321520098139825,7.0
R1128,37.472925278680115,2.441056101904882,18.2218316664056,Industrial,3,Premium,1,16.122337543510465,9.0
R1129,24.75621198467957,1.980181611593402,13.20599766303123,Industrial,1,Regular,1,10.285925291041554,3.0
R1130,22.282083743217328,3.450640690478725,13.391779651273485,Suburb,3,Regular,1,13.834780530744226,3.0
R1131,26.47829985177288,2.445344774601911,11.911322220668685,Industrial,3,Premium,1,9.536961487765181,9.0
R1132,19.992772878614755,3.6553697328537145,5.897437081549356,Downtown,3,Premium,1,11.71176739983164,7.0
R1133,34.35025726789158,3.705313951420038,18.13489954070062,Industrial,4,Premium,1,11.640235626141408,1.0
R1134,38.407571943672735,3.223728286571107,7.341990912838302,Downtown,3,Premium,1,7.528551187448692,10.0
R1135,30.943716257745045,4.223430648822715,21.205902640205974,Park,3,Premium,1,12.925500387042796,2.0
R1136,15.529205515728243,3.7462620229808605,16.209422032427337,Park,3,Regular,1,11.645696749065849,7.0
R1137,42.752524361138796,4.341871023068345,16.08075338252624,Park,4,Regular,1,13.817722214781043,5.0
R1138,33.834073817867655,2.233754896881273,14.084221547360087,Downtown,4,Regular,1,2.97039211855995,3.0
R1139,31.85158988645701,3.9916389672180905,13.65171771403676,Park,6,Premium,1,12.100634006152257,3.0
R1140,17.106917112273806,3.3275386064516486,15.682019919258336,Downtown,4,Premium,1,7.129935385049199,6.0
R1141,29.09382131323398,2.892742899028922,19.64240087029301,Downtown,0,Premium,0,14.261659456723471,3.0
R1142,30.347327236910147,4.786524370105344,13.704295326937162,Park,0,Premium,1,13.125738948198935,9.0
R1143,30.83680934030898,2.271998637097142,23.113089468242322,Park,4,Regular,1,20.01628133624581,7.0
R1144,34.620548652657284,3.025994954778775,14.382153508175486,Park,5,Regular,1,14.063038644540445,5.0
R1145,23.25127390313795,3.1922192373523024,16.822931326780747,Downtown,0,Premium,1,13.57478797760771,4.0
R1146,26.11692203737163,2.7784435139721233,8.409856422747595,Industrial,1,Regular,1,10.811841679975622,9.0
R1147,23.920452865555443,3.813842635034515,18.445018170127423,Downtown,3,Premium,1,14.39034532075464,2.0
