artist(s)_name,artist_count,track_id
Quevedo,1,364
Ryan Castro,1,672
SZA,1,465
Drake,1,875
"Peso Pluma, Grupo Frontera",2,32
Central Cee,1,419
"Lost Frequencies, Calum Scott",2,428
Ed Sheeran,1,926
Drake,1,866
NF,1,306
Freddie Dredd,1,427
Bad Bunny,1,774
Taylor Swift,1,120
Mr.Kitty,1,409
Karol G,1,260
"Dave, Central Cee",2,6
"MarпїЅпїЅlia MendonпїЅпїЅa, Hugo & G",2,689
Steve Lacy,1,910
Feid,1,886
The Weeknd,1,509
(G)I-DLE,1,922
"Luis R Conriquez, La Adictiva",2,897
"Drake, 21 Savage",2,947
"Peso Pluma, Yng Lvcas",2,10
Natanael Cano,1,151
"Nengo Flow, Bad Bunny",2,292
Metallica,1,863
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,477
"Karol G, Becky G",2,649
Feid,1,301
BoyWithUke,1,535
Bad Bunny,1,779
"Ariana Grande, The Weeknd",2,311
Bad Bunny,1,5
Childish Gambino,1,855
Taylor Swift,1,538
Jimin,1,20
Doja Cat,1,833
Zion & Lennox,1,707
Aerosmith,1,426
Adele,1,540
"Yahritza Y Su Esencia, Grupo Frontera",2,37
"21 Savage, Gunna",2,583
"Bad Bunny, Eladio Carrion",2,93
"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,606
"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,577
Libianca,1,68
"Ozuna, Shakira",2,355
Beach Weather,1,390
"Sech, Bad Bunny, Mora",3,571
The Weeknd,1,516
"Bruno Mars, Anderson .Paak, Silk Sonic",3,551
"Marshmello, Manuel Turizo",2,86
The Neighbourhood,1,74
Lauren Spencer Smith,1,826
Lil Uzi Vert,1,243
Feid,1,917
NMIXX,1,727
The Weeknd,1,553
"Twisted, Oliver Tree",2,429
Bad Bunny,1,789
"Quevedo, Jhayco",2,286
Hotel Ugly,1,195
Jessi,1,815
Anitta,1,702
The Goo Goo Dolls,1,821
Taylor Swift,1,4
"The Weeknd, Lana Del Rey",2,146
"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,142
"Metro Boomin, Coi Leray",2,209
Farruko,1,508
"Tyga, Doja Cat",2,715
"Kendrick Lamar, Blxst, Amanda Reifer",3,766
Jain,1,89
"Peso Pluma, Luis R Conriquez",2,896
"Don Toliver, Future, Justin Bieber",3,339
"Marshmello, Juice WRLD",2,920
Southstar,1,923
Kanye West,1,894
girl in red,1,924
YEAT,1,723
Harry Styles,1,852
"TAEYANG, Jimin",2,386
Billie Eilish,1,609
"Post Malone, Roddy Ricch",2,773
Sidhu Moose Wala,1,860
Joji,1,857
The Weeknd,1,578
Taylor Swift,1,164
Omar Apollo,1,432
Daddy Yankee,1,749
"Trueno, Tiago pzk",2,570
"Kendrick Lamar, Taylour Paige",2,780
ENHYPEN,1,226
Sam Smith,1,401
Hotel Ugly,1,436
Nirvana,1,698
"The Weeknd, Gesaffelstein",2,289
Baby Tate,1,392
"BLESSD, Peso Pluma",2,221
Joji,1,254
"Nicky Youre, Dazy",2,296
The Weeknd,1,542
Queen,1,718
Stromae,1,558
Keane,1,148
"HA SUNG WOON, Jimin",2,820
"Feid, Alejo, Robi",3,738
"Sam Smith, Calvin Harris, Jessie Reyez",3,382
"Halsey, BTS",2,391
Labrinth,1,665
"Anuel Aa, Myke Towers, Jhay Cortez",3,648
"Kanii, PR1ISVX",2,308
Gunna,1,9
Chris Rea,1,471
ENHYPEN,1,636
"Tony Dize, Bad Bunny",2,776
Sam Ryder,1,819
Michael Bublпї,1,446
"Sam Smith, Kim Petras",2,78
"Semicenk, DoпїЅпїЅu ",2,213
Plan B,1,197
"Stephanie Beatriz, Diane Guerrero",2,586
"Daddy Yankee, Bad Bunny",2,733
Taylor Swift,1,192
"Elton John, Britney Spears",2,900
"Swae Lee, Lil Wayne, Offset, Metro Boomin",4,201
J. Cole,1,116
The Weeknd,1,165
"The Weeknd, Post Malone",2,526
Edison Lighthouse,1,575
Maroon 5,1,642
Chase Atlantic,1,676
Harry Styles,1,832
Tears For Fears,1,115
"Mc Pedrinho, DJ 900",2,143
Trueno,1,587
Bruno Mars,1,155
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,895
Frank Ocean,1,658
SALES,1,607
Cigarettes After Sex,1,185
James Arthur,1,184
Labrinth,1,261
"Frank Sinatra, B. Swanson Quartet",2,467
Kevin Kaarl,1,823
Taylor Swift,1,438
C. Tangana,1,724
Kali Uchis,1,57
"Kendrick Lamar, Jay Rock",2,111
Shawn Mendes,1,545
"Snoop Dogg, BTS, Benny Blanco",3,883
Shakira,1,203
MпїЅпїЅne,1,799
"Latto, Jung Kook",2,1
"Steve Aoki, Tini, La Joaqui",3,399
"Calvin Harris, Dua Lipa, Young Thug",3,835
d4vd,1,140
Victor Cibrian,1,862
Lord Huron,1,168
"Coolio, L.V.",2,321
Morgan Wallen,1,356
Rauw Alejandro,1,619
Christian Nodal,1,713
"MatuпїЅпїЅ, Wiu, ",3,743
Paul McCartney,1,462
"Gustavo Mioto, Mari Fernandez",2,410
"Lil Durk, Morgan Wallen",2,227
"Kendrick Lamar, Tanna Leone",2,795
"Shakira, Rauw Alejandro",2,398
Olivia Rodrigo,1,722
"Ana Castela, AgroPlay",2,154
"Charlie Puth, BTS, Jung Kook",3,63
"Feid, Young Miko",2,19
"David Guetta, Ella Henderson, Becky Hill",3,856
"The Weeknd, ROSALпїЅ",2,576
Muni Long,1,684
Future,1,804
Harry Styles,1,751
Justin Bieber,1,454
"Skrillex, Flowdan, Fred again..",3,421
"J Balvin, Bad Bunny",2,369
"David Guetta, Shakira, Black Eyed Peas",3,898
"BYOR, Imanbek",2,846
Emmy Meli,1,543
"Junior H, Eden MuпїЅп",2,211
"24kgoldn, Iann Dior",2,585
Miley Cyrus,1,46
IVE,1,737
Doja Cat,1,435
"RAYE, 070 Shake",2,395
Karol G,1,59
Bad Bunny,1,378
The Weeknd,1,513
Panic! At The Disco,1,794
Coldplay,1,76
Lasso,1,868
Ryan Castro,1,709
Conan Gray,1,402
Harry Styles,1,15
Olivia Rodrigo,1,597
"Nicki Minaj, Ice Spice",2,273
Taylor Swift,1,94
Duki,1,858
Vundabar,1,685
The Weeknd,1,503
"J. Cole, Lil Durk",2,96
Kenia OS,1,319
Quevedo,1,357
Luke Combs,1,91
Meghan Trainor,1,280
Daddy Yankee,1,162
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,470
Masked Wolf,1,611
"BTS, Jung Kook, FIFA Sound",3,397
Jack Harlow,1,730
Lil Baby,1,929
"Ludwig Goransson, Foudeqush",2,943
Jack Black,1,328
Nat King Cole,1,484
Adele,1,247
"Blackbear, BoyWithUke",2,756
"Gorillaz, Bad Bunny",2,333
Anggi Marito,1,112
Drake,1,236
Feid,1,907
"RпїЅпїЅma, Selena G",2,27
Rosa Linn,1,874
Post Malone,1,69
Melanie Martinez,1,313
"De La Ghetto, Duki, Quevedo",3,744
TWICE,1,905
Treasure,1,712
"Mc Livinho, DJ Matt D",2,83
Nessa Barrett,1,879
Beyoncпї,1,232
"Jasiel NuпїЅпїЅez, Peso P",2,295
"Ed Sheeran, Elton John",2,476
"Myke Towers, Quevedo",2,347
"PinkPantheress, Ice Spice",2,62
Doja Cat,1,591
Harry Styles,1,829
Kordhell,1,320
Dua Lipa,1,720
P!nk,1,383
"Ariana Grande, The Weeknd",2,50
Peggy Gou,1,54
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,394
"MarпїЅпїЅlia MendonпїЅпїЅa, Maiara &",2,646
The Weeknd,1,512
IVE,1,584
"Kendrick Lamar, Sam Dew, Baby Keem",3,781
Tones and I,1,621
"Israel & Rodolffo, Ana Castela",2,368
"Eminem, Dido",2,674
Feid,1,909
Billie Eilish,1,532
"Travis Scott, Metro Boomin",2,482
"j-hope, J. Cole",2,334
Taylor Swift,1,34
"Dr. Dre, Snoop Dogg",2,654
BIGBANG,1,761
Labrinth,1,692
"Bizarrap, Paulo Londra",2,807
Dean Martin,1,449
Bad Bunny,1,193
"Tini, Maria Becerra",2,647
Charlie Puth,1,655
Feid,1,228
Wham!,1,443
"Fuerza Regida, Natanael Cano",2,223
Jason Derulo,1,581
"Feid, Sech, Jhayco",3,952
King,1,377
Harry Styles,1,830
Kendrick Lamar,1,805
SEVENTEEN,1,268
Benson Boone,1,797
Labrinth,1,664
Duncan Laurence,1,626
SZA,1,457
Labrinth,1,690
"Ayparia, unxbected",2,90
Burna Boy,1,873
"Travis Scott, 21 Savage, Metro Boomin",3,422
"Halsey, Suga",2,233
Rihanna,1,388
Shakin' Stevens,1,466
"Kendrick Lamar, Ghostface Killah, Summer Walker",3,786
Karol G,1,272
"Drake, DJ Khaled, Lil Baby",3,884
Glass Animals,1,72
"THE ANXIETY, Willow, Tyler Cole",3,552
BTS,1,836
"Yuridia, Angela Aguilar",2,370
Shubh,1,186
"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,136
ROSALпїЅ,1,279
Taylor Swift,1,70
Gayle,1,501
"Rauw Alejandro, Bizarrap",2,130
Steve Lacy,1,231
"Eminem, Dr. Dre",2,693
Kendrick Lamar,1,777
"Feid, Mora",2,318
Kelly Clarkson,1,451
ThxSoMch,1,483
The Weeknd,1,56
"Shae Gill, Ali Sethi",2,809
"Karol G, Shakira",2,35
Brenda Lee,1,444
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,458
"Coldplay, BTS",2,379
"MC Ryan SP, Love Funk, Mc Paiva ZS",3,931
"Morgan Wallen, Eric Church",2,348
"Luude, Colin Hay",2,671
Morgan Wallen,1,317
"Brray, Rauw Alejandro, Lyanno",3,330
"The Weeknd, Tyler, The Creator",3,515
"Maldy, Karol G",2,500
"The Weeknd, Future",2,270
"Eslabon Armado, Peso Pluma",2,7
Ed Sheeran,1,256
"Sleepy hallow, 347aidan",2,849
Nirvana,1,625
Nicki Minaj,1,349
"Feid, Paulo Londra",2,951
ZпїЅпїЅ Fe,1,683
TWICE,1,603
Sia,1,244
"IU, Agust D",2,300
"Maroon 5, Wiz Khalifa",2,441
Maria Becerra,1,80
Arctic Monkeys,1,23
teto,1,753
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,281
Simone Mendes,1,241
YOASOBI,1,175
Kendrick Lamar,1,769
Juice WRLD,1,667
The Rare Occasions,1,663
Kanye West,1,590
Chris Molitor,1,66
Agust D,1,258
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,639
"Prezioso, Gabry Ponte, LUM!X",3,598
JVKE,1,716
Taylor Swift,1,488
Adele,1,110
The Weeknd,1,176
"MNEK, Jax Jones",2,812
"Tini, L-Gante",2,628
Taylor Swift,1,101
Lil Baby,1,745
Kendrick Lamar,1,772
Taylor Swift,1,935
Rauw Alejandro,1,549
Taylor Swift,1,315
d4vd,1,77
Eden MuпїЅп,1,711
"Taiu, Milo j",2,118
Bellakath,1,420
Ariana Grande,1,447
50 Cent,1,659
Lady Gaga,1,851
"Bizarrap, Tiago pzk",2,557
Chuck Berry,1,496
Harry Styles,1,859
Tate McRae,1,660
Nat King Cole,1,461
Doechii,1,92
RпїЅп,1,393
SZA,1,481
Post Malone,1,103
Miguel,1,166
Nayeon,1,869
Dave,1,703
Justin Bieber,1,159
Taylor Swift,1,67
"Daddy Yankee, Bad Bunny",2,697
"Tyler, The Creator",2,305
Selena Gomez,1,949
Ed Sheeran,1,180
"Billie Eilish, Khalid",2,129
Sofia Carson,1,892
"Fuerza Regida, Chino Pacas",2,314
Kendrick Lamar,1,803
"Drake, Future, Tems",3,407
"Tainy, Bad Bunny",2,28
"Aventura, Bad Bunny",2,548
Taylor Swift,1,60
"Chencho Corleone, Rauw Alejandro",2,493
Ariana Grande,1,600
"Young Thug, Future, Gunna",3,564
Musical Youth,1,841
"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,204
"Lady Gaga, Bradley Cooper",2,635
"Natanael Cano, Peso Pluma",2,161
Grupo Frontera,1,282
Playboi Carti,1,593
Demi Lovato,1,740
"Marshmello, Jonas Brothers",2,637
"John Legend, Metro Boomin",2,499
"Aitana, zzoilo",2,528
Vance Joy,1,81
Taylor Swift,1,942
Jack Harlow,1,792
MпїЅпїЅne,1,527
ZпїЅпїЅ Neto & Crist,1,250
Kenshi Yonezu,1,431
Taylor Swift,1,84
XXXTENTACION,1,367
"TiпїЅпїЅsto, Tate M",2,304
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,239
Lil Nas X,1,520
"Kali Uchis, Amaarae, Moliy",3,562
"Cartel De Santa, La Kelly",2,267
The Kid Laroi,1,371
"Nicki Minaj, Lil Baby",2,681
The Ronettes,1,455
Lady Gaga,1,354
Treyce,1,361
The Weeknd,1,48
SZA,1,494
Harry Styles,1,696
Olivia Rodrigo,1,3
"Camila Cabello, Ed Sheeran",2,700
Kanye West,1,903
Yung Gravy,1,867
"SZA, Doja Cat",2,517
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,921
"Ovy On The Drums, Quevedo",2,916
Stephen Sanchez,1,245
Adele,1,594
Fuerza Regida,1,40
"Future, Lil Uzi Vert, Metro Boomin",3,215
"Becky G, Peso Pluma",2,208
"Wisin & Yandel, ROSALпїЅ",2,376
Taylor Swift,1,39
TOMORROW X TOGETHER,1,405
Labrinth,1,687
"Future, Chris Brown, Metro Boomin",3,220
SZA,1,16
Jaymes Young,1,511
The Neighbourhood,1,546
"Pritam, Arijit Singh, Amitabh Bhattacharya",3,439
"dennis, MC Kevin o Chris",2,61
Eminem,1,251
"Taylor Swift, Lana Del Rey",2,487
SZA,1,433
Shawn Mendes,1,755
INTERWORLD,1,285
"Feid, Myke Towers, Sky Rompiendo",3,51
Taylor Swift,1,824
"Rauw Alejandro, Bizarrap",2,71
"Arcangel, Bad Bunny",2,218
a-ha,1,200
"Ed Sheeran, Taylor Swift",2,653
Lil Tjay,1,735
Alec Benjamin,1,171
OneRepublic,1,47
"TAEYANG, Lisa",2,277
"Quevedo, La Pantera, Juseph, Cruz CafunпїЅпїЅ, BпїЅпїЅjo, Abhir Hathi",7,668
"Mainstreet, Chefin",2,679
Bad Bunny,1,782
Band Aid,1,463
Harry Styles,1,844
MпїЅпїЅne,1,919
Quevedo,1,8
Cris Mj,1,701
"The Weeknd, Daft Punk",2,49
Chanel,1,816
Bad Bunny,1,768
"Pharrell Williams, Tyler, The Creator, 21 Savage",4,834
"Rihanna, Calvin Harris",2,169
"Dr. Dre, 2Pac, Roger",3,669
"Styrx, utku INC, Thezth",3,440
Frank Ocean,1,187
"The Chainsmokers, Halsey",2,726
sped up 8282,1,266
MarпїЅпїЅlia Mendo,1,310
"Mahmood, Blanco",2,657
Myke Towers,1,2
"Nicki Minaj, Lil Baby",2,691
Harry Styles,1,309
"Kendrick Lamar, Beth Gibbons",2,810
"Kendrick Lamar, Beyoncпї",2,237
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,865
"J Balvin, Maria Becerra",2,623
Coldplay,1,912
Linkin Park,1,359
Fifty Fifty,1,17
Creedence Clearwater Revival,1,196
Bruno Mars,1,189
Morgan Wallen,1,344
"Drake, 21 Savage",2,944
Mac DeMarco,1,327
The Neighbourhood,1,582
Avicii,1,616
"Bad Bunny, Tainy",2,791
"Ak4:20, Cris Mj, Pailita",3,746
"Tyler, The Creator",2,695
"Cherish, ACRAZE",2,506
"Melody, Ana Castela, Dj Chris No Beat",3,899
Burl Ives,1,460
The Weeknd,1,372
Lana Del Rey,1,99
Ckay,1,521
SZA,1,98
"Karol G, Ovy On The Drums",2,322
BLACKPINK,1,291
"James Blake, Metro Boomin",2,229
Dua Lipa,1,408
Coi Leray,1,225
"Kevin Gates, Juicy J",2,714
SZA,1,351
Kendrick Lamar,1,808
"Camila Cabello, Willow",2,741
Harry Styles,1,757
Jin,1,945
"Doja Cat, The Weeknd",2,565
BTS,1,828
"The Weeknd, 21 Savage, Metro Boomin",3,33
Surf Curse,1,580
"Imagine Dragons, League of Legends, Arcane",3,620
Bruno Mars,1,614
"Mambo Kingz, DJ Luian, Anuel Aa",3,299
"Luciano, Aitch, BпїЅ",3,930
Beyoncпї,1,864
Dua Lipa,1,30
BTS,1,831
Bad Bunny,1,790
Harry Styles,1,843
BTS,1,563
"Fuerza Regida, Grupo Frontera",2,191
"Ozuna, Feid",2,65
Elley Duhпї,1,412
"Sebastian Yatra, Manuel Turizo, BeпїЅп",3,119
RM,1,480
Bruno Mars,1,170
Justin Bieber,1,763
"Gwen Stefani, Blake Shelton",2,492
Imagine Dragons,1,109
"Anitta, Tini, Becky G",3,878
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,329
The Kid Laroi,1,801
"Grupo Marca Registrada, Junior H",2,893
Kendrick Lamar,1,784
"The Weeknd, Swedish House Mafia",2,533
"Bruno Mars, Anderson .Paak, Silk Sonic",3,572
Taylor Swift,1,941
Carin Leon,1,106
"XamпїЅпїЅ, Gustah, Neo B",3,537
"Fuerza Regida, Peso Pluma",2,276
Paulo Londra,1,739
"Drake, Project Pat, 21 Savage",3,573
"Drake, 21 Savage",2,157
Jack Harlow,1,710
"Bad Bunny, Jhay Cortez",2,491
Taylor Swift,1,38
Eminem,1,104
"Future, Metro Boomin, Don Toliver",3,102
Zach Bryan,1,312
Sebastian Yatra,1,579
"RM, Colde",2,290
NewJeans,1,132
Taylor Swift,1,934
"Ozuna, Tiago pzk",2,854
Nicki Minaj,1,424
"Arcangel, Bizarrap",2,302
"Migrantes, LiL CaKe, Nico Valdi",3,252
Luciano,1,806
Billie Eilish,1,18
Tulus,1,704
Taylor Swift,1,194
"Justin Bieber, The Kid Laroi",2,85
SZA,1,474
NewJeans,1,890
Ruth B.,1,108
SZA,1,473
Lil Nas X,1,389
JVKE,1,73
"J Balvin, Nio Garcia, Bad Bunny",3,633
Dean Lewis,1,416
"Drake, Travis Scott, 21 Savage",3,933
"Dr. Dre, Snoop Dogg",2,650
Sebastian Yatra,1,554
The Weeknd,1,539
IVE,1,265
"Bad Bunny, Grupo Frontera",2,11
"Arcangel, De La Ghetto, Justin Quiles, Lenny TavпїЅпїЅrez, Sech, Dalex, Dimelo Flow, Rich Music",8,643
"Dua Lipa, Elton John, Pnau",3,107
Morgan Wallen,1,340
Yung Lean,1,661
Yng Lvcas,1,307
Maluma,1,595
David Kushner,1,588
New West,1,149
Karol G,1,53
Lil Yachty,1,918
Kendrick Lamar,1,764
"Nile Rodgers, LE SSERAFIM",2,257
Linkin Park,1,332
One Direction,1,181
"NEIKED, Mae Muller, Polo G",3,560
Olivia Rodrigo,1,566
"Sean Paul, Feid",2,235
Mahalini,1,343
Post Malone,1,188
"The Weeknd, Lil Wayne",2,518
"Drake, 21 Savage",2,938
"Mc Pedrinho, Pedro Sampaio",2,706
Bad Bunny,1,785
"Justin Bieber, Daniel Caesar, Giveon",3,555
"Intense, AP Dhillon, Gurinder Gill",3,666
"Bomba EstпїЅпїЅreo, Bad B",2,147
"Bizarrap, Villano Antillano",2,842
IVE,1,902
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,205
"Post Malone, Doja Cat",2,362
Oliver Tree,1,561
"Chencho Corleone, Bad Bunny",2,88
"Kanye West, XXXTENTACION",2,839
Dove Cameron,1,652
Morgan Wallen,1,338
"A$AP Rocky, Metro Boomin, Roisee",3,172
SiM,1,629
The Weeknd,1,510
Morgan Wallen,1,380
Feid,1,222
NLE Choppa,1,269
Hozier,1,190
Arctic Monkeys,1,173
Imagine Dragons,1,174
Lana Del Rey,1,133
Duki,1,887
Kendrick Lamar,1,802
Yahritza Y Su Esencia,1,748
Ghost,1,889
Imagine Dragons,1,141
"Kanye West, Lil Durk, Cardi B",3,876
Morgan Wallen,1,374
Taylor Swift,1,948
Arctic Monkeys,1,178
NewJeans,1,199
"Offset, JID",2,249
