track_name,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,danceability,energy,acousticness,instrumentalness,liveness,speechiness,track_id
Seven (feat. Latto) (Explicit Ver.),2023,7,14,553,147,141381703,80,83,31,0,8,4,1
LALA,2023,3,23,1474,48,133716286,71,74,7,0,10,4,2
vampire,2023,6,30,1397,113,140003974,51,53,17,0,31,6,3
Cruel Summer,2019,8,23,7858,100,800840817,55,72,11,0,11,15,4
WHERE SHE GOES,2023,5,18,3133,50,303236322,65,80,14,63,11,6,5
Sprinter,2023,6,1,2186,91,183706234,92,58,19,0,8,24,6
Ella Baila Sola,2023,3,16,3090,50,725980112,67,76,48,0,8,3,7
Columbia,2023,7,7,714,43,58149378,67,71,37,0,11,4,8
fukumean,2023,5,15,1096,83,95217315,85,62,12,0,28,9,9
La Bebe - Remix,2023,3,17,2953,44,553634067,81,48,21,0,8,33,10
un x100to,2023,4,17,2876,40,505671438,57,72,23,0,27,5,11
Super Shy,2023,7,7,422,55,58255150,78,82,18,0,15,7,12
Flowers,2023,1,12,12211,115,1316855716,71,68,6,0,3,7,13
Daylight,2023,4,14,3528,98,387570742,51,43,83,0,9,3,14
As It Was,2022,3,31,23575,130,2513188493,52,73,34,0,31,6,15
Kill Bill,2022,12,8,8109,77,1163093654,64,73,5,17,16,4,16
Cupid - Twin Ver.,2023,2,24,2942,77,496795686,78,59,43,0,34,3,17
"What Was I Made For? [From The Motion Picture ""Barbie""]",2023,7,13,873,104,30546883,44,9,96,0,10,3,18
Classy 101,2023,3,31,2610,40,335222234,86,66,14,0,12,16,19
Like Crazy,2023,3,24,596,68,363369738,63,73,0,0,36,4,20
LADY GAGA,2023,6,22,332,26,86444842,65,74,22,0,42,4,21
I Can See You (TaylorпїЅпїЅпїЅs Version) (From The ,2023,7,7,516,38,52135248,69,76,6,0,6,3,22
I Wanna Be Yours,2013,1,1,12859,110,1297026226,48,42,12,2,11,3,23
"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023,5,31,1313,40,200647221,85,67,26,0,12,5,24
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023,6,2,1945,87,115364561,85,68,7,0,36,20,25
SABOR FRESA,2023,6,22,250,26,78300654,79,86,9,0,9,9,26
