Date,High
2022-04-28,300.0
2012-01-11,1.892
2016-05-20,14.703333
2012-05-09,2.051333
2012-12-18,2.338
2018-09-04,19.879333
2020-08-03,100.653999
2019-03-01,20.475332
2017-07-07,21.133333
2015-06-12,16.897333
2021-07-16,218.899994
2014-06-09,13.999333
2018-05-07,20.397333
2015-09-09,16.950001
2021-11-12,351.5
2013-09-16,11.39
2017-05-01,21.816668
2022-08-26,302.0
2022-06-14,226.330002
2014-12-29,15.194
2018-12-13,25.162666
2020-07-17,102.500664
2022-08-12,300.160004
2019-05-10,16.132668
2020-03-06,47.133331
2020-08-25,135.196671
2021-03-12,231.626663
2018-08-22,21.591999
2015-09-28,17.319332
2015-11-27,15.483333
2014-12-15,13.986667
2021-04-16,249.803329
2022-09-12,305.48999
2015-11-13,14.199333
2019-02-08,20.496668
2018-07-06,20.804667
2021-03-15,237.726669
2012-03-23,2.308667
2022-03-02,295.493347
2018-02-15,22.274668
2015-12-15,14.814667
2014-09-02,18.992666
2019-08-30,15.496
2012-01-03,1.966667
2016-06-27,13.254
2010-11-30,2.355333
2015-03-31,12.917333
2015-11-17,14.4
2015-06-15,16.752001
2016-08-10,15.324667
2017-01-03,14.688667
2022-02-08,308.763336
2022-01-03,400.356659
2012-04-20,2.248667
2018-11-05,22.930668
2011-01-21,1.572667
2017-12-27,21.178667
2010-10-01,1.383333
2013-11-18,9.03
2013-09-05,11.433333
2016-05-25,14.757333
2011-05-27,1.978
2014-03-11,16.306667
2013-01-15,2.283333
2019-02-07,20.98
2016-02-17,11.289333
2021-08-18,231.92334
2015-09-03,16.805332
2013-05-13,5.866667
2018-03-01,23.244667
2015-12-03,15.83
2012-08-14,2.078
2020-07-06,91.852669
2019-02-19,20.769333
2020-02-03,52.409332
2016-04-11,17.266001
2012-11-19,2.216667
2022-09-07,283.839996
2013-10-17,12.32
2020-06-29,67.333336
2021-07-15,222.046661
2010-07-14,1.343333
2013-07-05,8.018667
2019-11-01,21.098667
2013-10-24,11.633333
2013-06-21,6.913333
2016-10-05,14.21
2011-01-19,1.698
2018-03-28,17.912001
2011-05-04,1.8
2018-12-31,22.614
2013-05-20,6.166667
2017-08-21,23.054667
2011-11-03,2.166
2019-05-08,16.706667
2019-09-19,16.529333
2012-01-24,1.845333
2014-02-24,14.557333
2014-01-02,10.165333
2019-10-28,22.722668
2015-11-11,14.632
2016-03-01,13.063333
2010-12-01,2.428
2016-08-24,15.143333
2022-03-15,268.523346
2011-08-05,1.692
2017-03-02,16.885332
2010-12-22,2.190667
2019-08-15,14.770667
2015-01-27,13.868667
2018-08-15,22.966
2014-08-13,17.709333
2020-11-05,146.666672
2022-05-05,315.200012
2015-04-21,14.05
2012-05-25,2.027333
2016-03-02,12.568
2013-06-27,7.35
2013-06-14,6.834667
2017-11-07,20.433332
2021-06-10,205.529999
2010-08-31,1.319333
2016-08-12,15.11
2022-04-06,359.666656
2018-06-28,23.801332
2010-08-12,1.193333
