Date,Low
2010-06-30,1.553333
2010-07-01,1.351333
2010-07-02,1.247333
2010-07-06,1.055333
2010-07-07,0.998667
2010-07-08,1.038
2010-07-09,1.103333
2010-07-12,1.133333
2010-07-13,1.126667
2010-07-14,1.184
2010-07-15,1.266667
2010-07-16,1.336667
2010-07-19,1.394667
2010-07-20,1.336667
2010-07-21,1.3
2010-07-22,1.358
2010-07-23,1.404
2010-07-26,1.353333
2010-07-27,1.350667
2010-07-28,1.367333
2010-07-29,1.333333
2010-07-30,1.303333
2010-08-02,1.355333
2010-08-03,1.388
2010-08-04,1.39
2010-08-05,1.336667
2010-08-06,1.301333
2010-08-09,1.296667
2010-08-10,1.254667
2010-08-11,1.19
2010-08-12,1.159333
2010-08-13,1.177333
2010-08-16,1.217333
2010-08-17,1.252
2010-08-18,1.24
2010-08-19,1.222
2010-08-20,1.234
2010-08-23,1.266667
2010-08-24,1.263333
2010-08-25,1.237333
2010-08-26,1.306667
2010-08-27,1.3
2010-08-30,1.307333
2010-08-31,1.288667
2010-09-01,1.306667
2010-09-02,1.354
2010-09-03,1.377333
2010-09-07,1.366667
2010-09-08,1.373333
2010-09-09,1.379333
2010-09-10,1.317333
2010-09-13,1.366667
2010-09-14,1.368667
2010-09-15,1.386
2010-09-16,1.389333
2010-09-17,1.32
2010-09-20,1.344
2010-09-21,1.378
2010-09-22,1.32
2010-09-23,1.3
2010-09-24,1.31
2010-09-27,1.336667
2010-09-28,1.384
2010-09-29,1.408667
2010-09-30,1.346
2010-10-01,1.354
2010-10-04,1.353333
2010-10-05,1.400667
2010-10-06,1.354667
2010-10-07,1.356
2010-10-08,1.359333
2010-10-11,1.338
2010-10-12,1.335333
2010-10-13,1.357333
2010-10-14,1.36
2010-10-15,1.35
2010-10-18,1.348
2010-10-19,1.333333
2010-10-20,1.336
2010-10-21,1.363333
2010-10-22,1.37
2010-10-25,1.382
2010-10-26,1.367333
2010-10-27,1.376667
2010-10-28,1.397333
2010-10-29,1.403333
2010-11-01,1.420667
2010-11-02,1.403333
2010-11-03,1.410667
2010-11-04,1.476667
2010-11-05,1.581333
2010-11-08,1.602
2010-11-09,1.603333
2010-11-10,1.603333
2010-11-11,1.822
2010-11-12,1.871333
2010-11-15,2.014667
2010-11-16,1.894667
2010-11-17,1.907333
2010-11-18,1.928
2010-11-19,1.98
2010-11-22,2.1
2010-11-23,2.146
2010-11-24,2.288667
2010-11-26,2.316667
2010-11-29,2.222
2010-11-30,2.227333
2010-12-01,2.23
2010-12-02,2.08
2010-12-03,2.058
2010-12-06,1.970667
2010-12-07,2.003333
2010-12-08,2.101333
2010-12-09,2.11
2010-12-10,2.075333
2010-12-13,2.026667
2010-12-14,1.850667
2010-12-15,1.902
2010-12-16,1.976667
2010-12-17,2.047333
2010-12-20,2.084
2010-12-21,2.114
2010-12-22,2.113333
2010-12-23,1.994667
2010-12-27,1.670667
2010-12-28,1.666667
2010-12-29,1.766667
2010-12-30,1.758667
2010-12-31,1.766667
2011-01-03,1.726667
2011-01-04,1.734667
2011-01-05,1.746
2011-01-06,1.787333
2011-01-07,1.86
2011-01-10,1.87
2011-01-11,1.794667
2011-01-12,1.768
2011-01-13,1.744
2011-01-14,1.707333
2011-01-18,1.65
2011-01-19,1.583333
2011-01-20,1.491333
2011-01-21,1.514
2011-01-24,1.548667
2011-01-25,1.601333
2011-01-26,1.606667
2011-01-27,1.635333
2011-01-28,1.583333
2011-01-31,1.566667
2011-02-01,1.569333
2011-02-02,1.578
2011-02-03,1.543333
2011-02-04,1.548
2011-02-07,1.525333
2011-02-08,1.533333
2011-02-09,1.519333
2011-02-10,1.520667
2011-02-11,1.529333
2011-02-14,1.536667
2011-02-15,1.504
2011-02-16,1.538
2011-02-17,1.57
2011-02-18,1.530667
2011-02-22,1.452
2011-02-23,1.407333
2011-02-24,1.433333
2011-02-25,1.512667
2011-02-28,1.566667
2011-03-01,1.58
2011-03-02,1.582
2011-03-03,1.604
2011-03-04,1.585333
2011-03-07,1.646667
2011-03-08,1.6
2011-03-09,1.618
2011-03-10,1.582
2011-03-11,1.568667
2011-03-14,1.546667
2011-03-15,1.453333
2011-03-16,1.512667
2011-03-17,1.509333
2011-03-18,1.500667
2011-03-21,1.502667
2011-03-22,1.466667
2011-03-23,1.451333
2011-03-24,1.465333
2011-03-25,1.493333
2011-03-28,1.503333
2011-03-29,1.547333
2011-03-30,1.534
2011-03-31,1.766667
2011-04-01,1.771333
2011-04-04,1.682
2011-04-05,1.712667
2011-04-06,1.72
2011-04-07,1.763333
2011-04-08,1.757333
2011-04-11,1.668
2011-04-12,1.62
2011-04-13,1.654
2011-04-14,1.613333
2011-04-15,1.694
2011-04-18,1.624
2011-04-19,1.643333
2011-04-20,1.686667
2011-04-21,1.706
2011-04-25,1.731333
