Date,Volume
2011-04-29,10890000
2020-07-08,244669500
2014-02-11,160648500
2014-07-30,73917000
2020-06-25,138817500
2010-09-20,14212500
2020-11-24,160945500
2021-11-15,104326800
2011-02-28,15768000
2022-06-27,89178300
2015-08-03,38302500
2014-12-22,71991000
2011-10-13,15652500
2021-02-01,76174200
2010-07-22,14367000
2019-07-05,105985500
2010-09-10,5799000
2019-10-22,69012000
2013-04-19,45175500
2021-03-30,118297200
2011-04-26,21000000
2012-10-05,14079000
2011-01-28,15726000
2014-06-30,72429000
2018-07-26,69457500
2020-02-10,370338000
2013-12-31,63936000
2019-04-04,355810500
2017-08-23,74317500
2015-10-01,68595000
2013-04-11,51711000
2014-12-26,49905000
2017-10-05,62575500
2021-10-04,91449900
2020-03-10,233916000
2018-10-22,84004500
2019-04-17,76897500
2018-03-08,53493000
2012-12-19,19482000
2014-12-10,109711500
2011-09-02,11548500
2015-08-07,76101000
2016-05-26,61086000
2017-12-27,70681500
2016-02-16,83907000
2013-07-10,84001500
2018-11-14,75604500
2012-07-05,18807000
2011-09-09,10039500
2019-11-19,115872000
2013-02-26,41443500
2019-09-30,88197000
2020-01-31,235789500
2016-03-31,120193500
2019-04-01,121656000
2016-05-13,42342000
2018-08-09,257757000
2015-09-14,43363500
2017-01-25,77139000
2022-04-13,55121100
2011-09-22,11637000
2018-11-06,101443500
2016-04-18,64071000
2015-12-08,40314000
2010-10-06,4701000
2019-12-05,55869000
2013-05-21,134973000
2013-06-26,99039000
2021-12-14,70806300
2014-03-13,93544500
2013-01-16,20673000
2015-08-27,114840000
2019-08-05,105424500
2012-03-13,15024000
2020-09-16,216837900
2016-07-12,68569500
2010-11-19,17257500
2013-12-11,107067000
2014-06-04,51411000
2020-03-05,162790500
2011-03-02,9949500
2019-03-27,131688000
2021-10-12,66060000
2014-07-08,117543000
2016-02-10,156097500
2017-06-15,156397500
2018-04-24,85279500
2019-02-12,82764000
2019-09-19,71937000
2017-08-18,81123000
2020-02-21,214722000
2011-01-07,33718500
2019-03-19,177009000
2014-04-21,78873000
2017-11-06,97290000
2021-03-01,81408600
2021-09-17,84612600
2014-06-11,59662500
2020-02-13,394339500
2019-05-31,156100500
2019-04-30,141969000
2016-04-27,48087000
2021-07-22,45317100
2015-03-19,127128000
2015-06-02,32022000
2019-09-17,57981000
2012-10-25,8665500
2019-03-08,132294000
2011-05-03,13708500
2015-01-14,173278500
2020-07-31,183123000
2018-07-31,76153500
2020-10-23,101151000
2014-03-03,196339500
2020-04-17,196923000
2020-04-08,189840000
2015-01-06,93928500
2021-04-12,87407100
2011-08-29,12051000
2020-09-02,288528300
2016-06-15,43627500
2019-01-09,81493500
2018-08-06,128464500
2013-06-27,131173500
2019-12-13,98563500
2019-01-03,104478000
2022-02-24,135322200
2022-02-11,79645800
2014-11-26,29718000
2017-11-01,126859500
2016-03-15,47707500
2013-05-08,101548500
2015-11-13,51454500
2021-11-30,81276000
2022-03-14,71152200
2019-02-21,133638000
2015-01-30,45105000
2015-11-16,43881000
2015-04-22,117945000
2020-06-18,146278500
2012-07-24,22504500
2014-03-11,132151500
2013-09-10,134517000
2013-07-16,485578500
2013-07-01,163554000
2017-10-16,80632500
2011-07-20,45724500
2021-03-29,85911000
2013-07-31,95275500
2014-06-10,52720500
2019-02-04,110281500
2017-05-02,80742000
2019-05-24,212049000
2022-01-12,83739000
2014-08-21,43734000
2017-01-27,47494500
2018-10-01,326664000
2012-12-10,13947000
2017-08-22,64830000
2018-07-24,143862000
2016-07-06,73798500
2018-08-22,89190000
2014-08-27,44776500
2014-07-23,46249500
2011-06-22,22134000
2015-03-23,39474000
2014-04-02,161734500
2012-09-06,12625500
2010-10-29,4209000
2013-05-15,253180500
2016-12-02,60634500
2016-12-16,56953500
2015-09-10,40635000
2018-08-01,151941000
2019-05-15,109440000
2013-03-14,30315000
2019-10-02,84471000
2015-10-27,52791000
2013-07-08,117213000
2022-06-17,92641800
2016-03-21,79617000
2014-05-16,67315500
2018-11-08,106360500
2016-04-05,149230500
2017-10-10,104677500
2019-08-27,81243000
2016-02-22,75901500
2011-11-01,9528000
2017-06-27,104946000
2013-09-19,233919000
2015-09-01,81822000
2017-05-23,64776000
2012-03-21,9108000
2017-08-03,203025000
2015-02-06,48658500
2011-08-08,39127500
2011-09-29,13944000
2011-10-31,17010000
2022-03-11,67037100
2016-07-15,33513000
2021-05-13,132554700
2013-06-18,131929500
2014-12-31,34462500
2013-12-27,81903000
2022-04-19,49847700
2012-02-06,9781500
2019-04-12,101190000
2022-04-14,58422300
2022-01-18,66743400
2011-06-30,14200500
2014-01-06,80416500
2022-03-16,84028800
2020-02-20,264523500
2011-10-12,16851000
2016-07-21,66430500
2010-07-23,9804000
2015-03-27,129073500
2020-02-28,363343500
2014-06-03,57912000
2021-03-16,96587100
2019-01-10,90846000
2015-06-22,68416500
2011-02-22,30969000
2020-05-27,173242500
2022-05-06,72903000
2022-06-21,122793000
2019-01-11,75586500
2011-01-12,14466000
2013-10-15,164677500
2015-10-16,65017500
2014-12-11,100416000
2021-06-15,53292300
2014-10-09,110419500
2015-11-17,32230500
2020-07-24,290949000
2015-09-02,69438000
2017-10-18,74086500
2014-09-29,72790500
2015-12-18,45213000
2021-12-17,100437300
2022-04-26,136133700
2016-11-15,58530000
2017-07-13,128917500
2011-08-10,23463000
2016-03-08,62680500
2022-03-22,105868500
2017-11-16,87331500
2017-10-11,67512000
2019-08-20,61878000
2013-01-10,13837500
2010-12-30,30616500
2013-05-06,65500500
2020-03-18,356793000
2017-03-24,84709500
2021-11-04,76192200
2018-12-06,117637500
2015-06-08,75255000
2011-04-14,14751000
2021-12-30,47040900
2015-09-15,44002500
2013-08-28,221101500
2012-06-18,18852000
2013-03-13,12330000
2019-03-22,131184000
2011-07-27,14377500
2015-06-19,36945000
2016-05-10,61059000
2011-06-29,21927000
2013-07-26,144496500
2014-02-19,242535000
2017-06-20,111580500
2014-11-12,88062000
2018-08-03,204847500
2017-06-22,112947000
2019-10-03,226267500
2014-02-07,133927500
2017-04-26,70425000
2019-08-21,116914500
2010-12-23,23289000
2015-05-27,51123000
2017-03-15,79962000
2022-03-07,72494100
2014-12-29,42037500
2014-10-10,193324500
2017-10-24,67375500
2011-03-24,6933000
2019-11-01,95758500
2018-09-28,504745500
2016-09-12,55728000
2012-04-16,16494000
2016-10-14,64048500
2022-04-06,89348400
2016-04-22,56794500
2016-11-11,59827500
2013-12-17,157425000
2016-08-18,25717500
2019-09-06,62841000
2013-08-13,131233500
2018-01-30,70765500
2022-01-06,90336600
2020-04-06,223527000
2011-09-30,20041500
2012-12-27,8416500
2010-07-12,33037500
2017-04-24,76252500
2017-08-01,124546500
2021-06-02,69908400
2015-11-12,43738500
2013-07-12,170160000
2022-01-19,75442500
2013-10-01,116338500
2017-10-06,64462500
2016-10-12,29560500
2020-06-05,117178500
2015-01-20,67548000
2011-04-19,8230500
2017-01-06,82918500
2012-11-19,20886000
2016-02-04,65781000
2019-03-12,112561500
2020-03-31,266572500
2013-04-02,99786000
2018-02-28,91045500
2016-11-22,84051000
2013-08-09,133915500
2017-05-19,70314000
2010-12-03,17401500
2020-10-30,127533900
2021-02-05,55699800
2017-07-06,289867500
2018-10-09,180909000
2012-01-10,10077000
2020-07-06,308548500
2016-06-16,36604500
2015-12-17,49479000
2018-10-24,300874500
2012-07-31,23626500
2017-06-28,94537500
2021-08-10,40296900
2019-10-14,153075000
2011-12-28,8628000
2011-03-30,18349500
2021-01-21,61563300
2019-11-12,110391000
2018-08-31,80626500
2015-09-03,62922000
2011-01-21,18255000
2022-02-04,73625400
2012-10-19,15411000
2022-08-16,88136400
2016-12-07,81928500
2021-07-29,91183800
2012-04-09,24835500
2022-04-12,65976000
2010-07-21,18787500
2021-10-26,187245000
2015-10-06,78378000
2015-04-24,36417000
2018-06-29,97386000
2015-01-27,41715000
2017-04-27,52029000
2013-03-26,27123000
2013-02-15,30264000
2015-03-05,73155000
2021-01-04,145914600
2018-08-20,261034500
2013-06-03,287094000
2019-07-03,213016500
2018-09-24,72645000
2011-06-02,14794500
2018-05-24,62650500
2016-03-09,48129000
2017-05-25,75210000
2021-10-07,57587400
2021-07-12,77781000
2014-03-24,169932000
2012-08-15,7881000
2014-09-24,56242500
2015-03-02,118831500
2018-10-19,140632500
2014-09-15,246831000
2014-08-20,45418500
2019-07-12,138007500
2020-10-28,76354200
2014-12-02,88305000
2022-07-14,78557400
2022-05-12,140313000
2016-08-04,62205000
2013-06-12,137890500
2012-07-10,11376000
2022-04-27,76956300
2015-08-06,219357000
2014-07-25,46306500
2020-10-15,107017200
2020-09-09,238397400
2020-09-15,291894600
2020-02-04,914082000
2014-09-17,77665500
2011-10-10,13852500
2013-03-01,23199000
2017-06-21,73848000
2017-03-17,97462500
2022-07-21,142032300
2020-06-01,224092500
2020-04-28,228330000
2022-01-21,103416000
2011-03-08,20998500
2016-04-21,41746500
2020-08-17,303634500
2012-05-18,24247500
2018-03-12,123960000
2010-08-19,8686500
2020-12-04,88203900
2016-01-22,46861500
2016-09-29,40905000
2021-11-08,100337100
2012-01-24,12870000
2011-05-27,25306500
2019-02-28,157810500
2011-02-24,15829500
2017-02-03,32800500
2018-05-11,70194000
2022-02-02,66792900
2019-05-23,398206500
2017-03-31,49419000
2011-01-27,13435500
2014-06-17,199573500
2010-07-07,103825500
2020-08-04,126225000
2021-01-11,177904800
2017-06-07,140970000
2012-12-12,30957000
2020-06-23,95479500
2014-10-21,61954500
2013-06-20,151597500
2012-03-06,8607000
2014-03-07,117184500
2018-03-26,125628000
2012-09-24,19528500
